ticker,yr,fecha,f4,sector,ret,ps,mcap,mom,r40,sdmb,sdcr,mb,cr
AAP,2007,2007-02-15,2008-02-13,Consumer Cyclical,-8.57,0.9000,4154.9,15.16,0.1175,0.00488,0.03169,0.4708,0.0544
ABCB,2007,2007-01-31,2008-03-12,Financial Services,-44.30,3.8900,347.1,-7.42,0.1688,0.05409,0.13390,0.5806,-0.0403
ABCO,2007,2007-03-31,2008-03-31,desconocido,8.32,5.0400,991.6,-9.06,0.3251,0.02527,0.00796,0.5200,0.1561
ABG,2007,2007-02-15,2008-02-21,Consumer Cyclical,-44.81,0.1500,862.6,27.23,-0.0250,0.00297,0.04537,0.1569,-0.0570
ABMD,2007,2007-02-05,2008-02-07,desconocido,5.68,7.6200,385.5,28.84,-0.3063,0.02544,0.17119,0.7774,0.2272
ACCO,2007,2007-02-07,2008-02-13,desconocido,-34.44,0.6800,1326.7,7.35,0.0628,0.04901,0.69668,0.3175,0.0132
ADEA,2007,2007-01-31,2008-01-31,Technology,2.37,2.3600,492.6,9.05,1.4580,0.03712,0.52886,0.8859,1.0435
ADTN,2007,2007-01-22,2008-01-22,Technology,-8.14,3.3500,1583.6,-6.91,-0.0364,0.00838,0.19540,0.5809,-0.2239
AEIS,2007,2007-02-07,2008-02-07,Technology,-44.73,2.2700,932.4,20.06,0.6530,0.03737,0.26688,0.4295,0.4937
AEL,2007,2007-02-21,2008-02-20,desconocido,-38.66,0.9300,851.7,-0.94,1.0254,0.06006,0.51068,0.8704,0.8798
AEM,2007,2007-02-21,2008-02-20,Basic Materials,63.97,9.7100,4991.0,28.94,2.0721,0.13008,0.50972,0.7793,1.4367
AEPI,2007,2007-01-31,2008-01-31,desconocido,-35.45,0.5000,391.6,79.35,0.0524,0.02168,0.42672,0.1942,-0.0283
AGCO,2007,2007-02-09,2008-02-07,Industrials,59.16,0.6100,3315.4,37.43,0.1248,0.00597,0.10827,0.1627,0.1797
AGO,2007,2007-02-08,2008-02-11,Financial Services,-19.44,5.6700,1826.1,2.73,0.7220,0.04610,0.31567,0.8630,0.1537
AINV,2007,2007-02-07,2008-02-05,desconocido,-35.55,6.2100,1878.5,22.91,1.6186,0.08194,0.71828,0.6929,1.2816
AJG,2007,2007-01-30,2008-01-29,Financial Services,-12.10,1.8800,2883.9,8.12,0.2536,0.02689,0.05597,0.7796,0.1026
AJRD,2007,2007-01-22,2008-01-24,desconocido,-22.75,0.7300,785.1,-29.84,0.0265,0.02143,0.25175,0.1226,-0.0046
ALB,2007,2007-01-23,2008-01-28,Basic Materials,8.22,1.4900,3529.1,32.11,0.1253,0.02347,0.20017,0.2545,-0.0062
ALCO,2007,2007-04-09,2008-05-09,desconocido,-32.39,3.7500,423.2,-4.45,1.6977,0.08249,0.60034,0.2827,1.4748
ALE,2007,2007-02-16,2008-02-15,desconocido,-22.46,1.7900,1373.1,8.73,0.4577,0.03182,0.28697,0.6460,0.2585
