yr,ticker,mom,ret,qqq,acel,magn,racha,sorp,guia,desg,mop,reinv,reac,ps,dil,dmop,pos_mop,pos_mb,pos_cr,pos_ps,mop_vs_media
2007,AAP,15.2,-9.5,-2.2,-2.380,0.696,-5,0.000,0.054,-0.001,0.0631,0.408,0.047,0.900,-0.0239,-0.0099,0.241,0.760,0.087,0.227,0.761
2007,ABG,27.2,-43.1,-1.2,-10.670,-1.146,-2,0.068,-0.061,-0.004,0.0320,0.121,0.013,0.150,0.0356,0.0021,0.937,0.692,0.000,1.000,1.146
2007,AEM,28.9,60.6,-5.3,58.030,1.678,1,0.234,0.282,-1.155,0.6354,0.050,0.054,9.710,0.3995,0.2889,1.000,1.000,1.000,0.000,2.875
2007,AGCO,37.4,65.7,-4.0,22.240,-4.207,2,,-0.869,-1.048,-0.0550,0.110,-0.041,0.610,0.0452,-0.0937,0.000,0.038,0.422,0.769,-1.284
2007,ALB,32.1,3.3,1.0,-20.600,-0.031,-1,,-0.111,-0.105,0.1315,0.123,0.000,1.490,0.0097,0.0643,1.000,1.000,0.000,0.276,1.393
2007,ALV,7.2,-19.2,-0.1,7.970,6.866,4,-0.010,0.143,0.050,0.0850,0.108,-0.003,0.550,-0.0440,-0.0077,0.614,0.447,0.590,0.028,1.045
2007,ARLP,-3.7,4.8,1.8,-2.430,0.866,-1,,-0.025,-0.183,0.1831,0.035,-0.002,1.280,0.0000,-0.0184,0.873,0.699,0.513,0.000,1.381
2007,AROC,25.6,-0.3,-1.3,20.780,2.099,2,0.037,0.948,0.551,0.1738,0.129,-0.016,1.390,-0.0595,-0.0426,0.629,0.640,1.000,0.317,1.025
2007,ASR,25.6,17.5,-3.9,63.500,50.973,4,,13.759,13.111,0.3673,0.165,-0.005,5.990,-0.2123,0.2645,0.295,0.698,1.000,0.242,0.943
2007,AVNT,-13.8,-13.4,0.1,-31.410,-1.085,-2,-0.160,0.120,0.284,0.0376,0.085,-0.008,0.260,0.0054,-0.0474,0.744,0.040,0.585,0.000,1.160
2007,AXON,18.0,49.4,-1.4,-3.850,0.932,-1,,,,0.1970,0.436,0.026,7.820,-0.0247,0.1646,0.776,0.511,0.278,0.059,1.475
2007,AZZ,59.6,13.2,15.1,16.040,1.511,2,0.047,,,0.1281,0.134,0.002,1.320,0.0310,0.0670,0.914,0.910,0.988,1.000,1.597
2007,BALL,12.6,-6.3,0.6,8.230,1.547,1,,,,0.0868,0.048,0.010,0.720,-0.0118,0.0376,0.047,0.700,0.728,0.071,0.700
2007,BC,5.6,-46.3,0.8,-1.220,1.181,-5,-0.053,-0.212,-0.133,0.0222,0.174,0.046,0.540,-0.0476,-0.0462,0.087,0.000,0.000,0.097,0.346
2007,BJRI,-9.1,-20.0,-0.1,3.980,1.133,1,0.001,0.334,-0.004,0.0516,-1.315,-0.020,2.240,0.1345,-0.0106,0.703,0.982,0.533,0.000,1.072
2007,BKNG,26.0,128.3,5.5,6.420,1.304,3,,-0.044,-0.319,0.0484,0.130,0.011,1.830,-0.0369,0.0188,0.745,0.952,1.000,1.000,2.444
2007,BTE,-13.4,54.0,17.6,13.180,0.224,1,,-0.090,-0.052,-0.6851,0.060,0.017,2.940,0.0832,-1.2733,0.000,0.000,0.076,0.000,-1.189
2007,BVN,0.7,168.9,5.8,16.390,1.198,1,-0.103,,,0.4652,0.073,0.000,5.490,-0.0001,0.2255,0.876,0.168,1.000,0.000,1.609
2007,BWA,29.4,21.9,-4.7,13.820,,1,0.042,0.106,-0.041,0.0102,0.106,0.062,0.840,0.0149,-0.0760,0.000,0.053,0.569,0.474,0.127
2007,BYD,30.0,-50.1,-1.1,-51.110,-3.791,-2,0.182,-0.152,0.252,0.3656,-0.201,0.067,1.900,-0.0232,0.2478,1.000,0.000,0.000,0.600,2.266
2007,CAKE,1.1,-23.0,1.5,-1.230,0.889,-4,0.083,0.164,0.065,0.0656,-0.035,0.003,1.660,-0.0224,-0.0381,0.000,0.545,0.000,0.012,0.653
2007,CASY,7.9,6.2,1.1,10.810,3.480,1,-0.044,-0.016,-0.168,0.0219,0.112,0.001,0.320,0.0035,0.0049,0.373,0.255,0.425,0.040,0.727
2007,CBRL,15.4,-26.7,-1.9,0.020,0.999,1,-0.130,-0.128,-0.010,0.0690,0.532,-0.039,0.680,-0.3053,-0.0014,0.812,0.842,0.001,0.116,1.171
2007,CBT,23.4,-38.4,-0.2,-7.230,0.616,-2,,0.049,-0.067,0.1221,0.105,0.002,1.210,0.0147,0.0625,0.973,0.599,0.304,0.328,2.214
2007,CBZ,-6.9,24.2,0.6,-2.080,0.651,-3,0.212,-0.054,-0.092,0.0262,0.038,0.028,0.770,-0.1136,-0.0138,0.354,0.278,0.381,0.000,0.553
2007,CDE,-0.8,3.0,-3.0,-1.090,0.965,-1,-0.024,0.816,0.514,0.3226,0.085,0.002,6.030,0.0998,0.2663,0.993,0.628,0.502,0.249,1.223
2007,CECO,43.7,-56.4,-2.3,9.230,1.151,4,,,,0.0590,0.131,0.031,3.230,0.2359,-0.0295,0.989,0.456,1.000,0.756,0.561
2007,CENX,50.1,24.8,-0.8,4.120,1.101,1,-0.006,0.346,-0.103,0.1941,0.025,0.018,1.010,0.0076,0.1091,0.809,0.702,1.000,0.692,1.976
2007,CHH,-1.2,-18.2,0.4,11.840,2.884,1,0.037,-0.028,-0.209,0.2775,1.935,0.014,4.920,0.0155,-0.0204,0.403,0.542,0.971,0.000,0.952
2007,CLF,48.9,114.3,-6.1,4.340,1.338,2,0.056,0.439,0.268,0.1525,0.049,0.012,1.200,-0.0707,0.0472,0.868,0.486,0.094,0.101,5.260
2007,CLH,8.5,21.1,3.0,-3.100,0.843,-1,,0.852,0.685,0.0982,0.149,-0.072,0.680,0.1669,0.0659,0.248,0.596,0.118,0.138,1.101
2007,CMC,41.7,9.4,2.5,1.390,1.092,1,-0.115,0.070,-0.094,0.0601,0.072,-0.008,0.430,-0.0163,-0.0204,0.613,0.634,0.129,0.064,1.119
2007,CMCO,36.3,-1.0,1.0,-0.520,0.926,-1,,-0.081,-0.146,0.1049,0.166,0.019,0.830,0.0764,0.0065,0.767,0.751,0.395,1.000,1.169
2007,CMP,12.4,33.2,-0.3,-28.530,-0.905,-1,-0.048,0.440,0.575,0.2108,0.066,0.004,1.580,0.0142,-0.0570,0.717,0.673,0.137,1.000,1.316
2007,CRAI,10.9,-48.9,-3.4,1.310,1.084,1,-0.089,0.172,0.002,0.1492,0.216,0.057,1.900,0.0417,-0.0001,0.915,0.050,0.186,0.061,1.114
2007,CRI,-5.9,-14.6,0.1,2.370,1.445,1,0.000,-0.264,-0.341,0.1322,0.248,0.019,1.150,0.0082,0.0300,0.120,0.277,0.255,0.000,0.901
2007,CRK,8.6,10.7,-0.3,-44.690,0.445,-1,,-0.158,-0.516,0.2796,0.031,-0.018,3.240,0.0312,-0.3391,0.447,0.592,0.280,0.000,0.715
2007,CRS,4.7,6.7,1.8,10.750,1.636,1,-0.046,0.148,-0.129,0.1402,0.076,0.042,1.720,0.0135,-0.0446,0.788,0.584,0.780,0.009,1.529
2007,CSL,9.9,-29.2,-1.4,57.310,8.279,4,0.023,0.150,-0.502,0.1049,0.107,0.114,1.120,0.0126,0.0060,0.401,0.240,1.000,0.000,1.146
2007,CTRN,24.6,-63.8,0.3,6.280,1.255,1,0.043,0.134,-0.176,0.1179,0.266,0.017,1.640,-0.0139,-0.0015,0.987,0.574,0.231,0.158,2.183
2007,CW,26.8,3.0,-2.0,4.060,1.272,3,-0.091,-0.064,-0.253,0.1208,0.215,-0.002,1.370,0.0118,-0.0204,0.604,0.526,0.129,0.103,1.025
2007,DDS,-1.3,-49.7,-1.2,1.800,,1,,0.400,0.383,0.0624,0.247,-0.007,0.350,0.0290,-0.0139,0.875,0.562,0.474,0.714,2.996
2007,DECK,29.7,107.3,5.2,17.760,1.936,3,,-0.119,-0.486,0.1743,0.187,-0.034,2.590,0.0033,-0.0365,0.697,0.987,0.362,0.100,1.089
2007,DINO,23.8,-10.7,0.3,-15.590,0.386,-2,,,,0.0731,0.020,-0.020,0.740,-0.0618,0.0035,0.562,0.121,0.000,0.026,1.348
2007,DKS,19.5,-5.6,-2.5,-0.760,0.965,-1,0.053,0.209,0.001,0.1122,0.200,0.010,0.970,0.0262,0.0024,0.127,1.000,0.224,0.099,1.067
2007,DY,-1.3,-34.8,1.1,-0.830,0.875,-1,0.077,0.127,0.069,0.0464,0.083,-0.061,0.840,0.0081,0.0064,0.693,0.226,0.314,0.000,0.818
2007,EGY,-24.4,-9.3,1.2,-11.080,4.095,-2,,0.399,0.545,0.5599,-0.071,-0.069,3.410,0.0271,-0.1838,0.941,0.825,0.000,0.000,6.289
2007,ENS,-2.5,50.3,-2.7,1.170,1.072,1,0.056,0.011,-0.163,0.0561,0.148,0.015,0.540,0.0160,0.0029,0.515,0.000,0.687,0.660,0.914
2007,EPAC,4.0,13.5,-2.4,2.730,1.131,3,0.000,0.166,-0.070,0.1082,0.196,0.024,1.250,0.0054,-0.0181,0.000,0.310,0.353,0.080,0.843
2007,EQT,23.7,23.4,1.8,38.170,-2.182,1,0.077,0.313,0.052,0.3098,0.100,0.005,2.240,-0.0083,-0.0418,0.895,0.702,0.735,0.849,1.200
