yr,ticker,mom,ret,qqq,fdate,roce,capexdep,dio,evsales,evebitda,ndebitda,curratio,fcfy,iq,ccc,pos_roce,pos_capexdep,pos_dio,pos_evsales,pos_fcfy,capexdep_ma8,ev_mid_ebitda,nd_mid_ebitda,d_roce,d_dio,d_capexdep
2010,AZZ,16.8,21.2,20.3,2009-08-31,0.0594847,0.894027,64.8456,4.73426,18.8636,1.17443,3.6748,0.0457426,2.083,111.615,0.346499,0.0267288,0.0922924,0.598686,0.413706,1.14646,26.4916,1.64934,-0.00648175,-6.98563,-0.331085
2010,CBRL,102.7,26.0,31.3,2009-10-30,0.0379023,1.05334,77.4319,2.36758,26.4092,11.9271,0.829107,0.0113125,1.29866,31.885,0.850574,0.18138,0.658073,0.258212,0.448608,1.24979,31.7443,14.3366,0.00798297,-14.6846,-0.4977
2010,CECO,31.6,-24.0,13.3,2009-09-30,-0.00538132,0.333919,17.3538,10.7,1572,40.0796,1.52757,-0.00170993,0.59292,75.4367,0.0527591,0,0.850311,0.986373,0.302336,0.674403,138.408,3.52884,-0.0470666,3.8688,-0.0593393
2010,CHH,30.1,30.2,33.4,2009-09-30,0.236142,1.2114,968.678,12.5558,38.9329,4.27177,0.910086,0.0156535,0.962936,-3723.39,0.478446,0.376001,1,0.238428,0.462924,1.40662,44.7962,4.91509,-0.0781788,962.774,0.0273975
2010,CLH,3.2,71.8,37.4,2009-09-30,0.0240729,0.689313,16.7569,4.97897,36.9584,2.22205,2.54897,0.00322838,1.90223,62.1128,0.144022,0.0535783,0.93078,0.653189,0.358214,1.2543,45.5745,2.74008,-0.0298889,3.67232,-0.0810791
2010,CW,1.4,20.4,29.1,2009-09-30,0.021619,1.22188,94.5228,4.6444,36.2961,8.53321,1.75353,0.0150362,2.32533,143.569,0.159936,0.453252,1,0.276802,0.51978,1.25249,33.2806,7.82429,-0.00773458,6.04639,-0.0674888
2010,DECK,100.7,146.3,52.1,2009-09-30,0.124151,0,129.525,4.48525,18.3502,-1.35433,4.72381,-0.0265747,-0.727001,138.18,0.687126,0,0.50407,0.077304,0.173646,2.41704,36.9783,-2.72916,-0.000362105,2.5556,-4.23694
2010,EBF,97.5,1.4,13.8,2009-08-31,-0.327441,1.81248,69340.9,2932.73,22.2854,2.87324,3.55704,0.0557847,2.59837,87223.8,0,1,1,1,0.677333,0.592126,27.6753,3.56816,-0.361646,69273.9,1.35812
2010,ENS,119.6,67.7,40.8,2009-09-27,0.0203932,0.847579,73.6051,3.24346,33.6194,4.19465,2.27322,0.00842769,1.44324,107.394,0.364006,0.197124,0.756493,0.834045,0.201649,1.08334,30.5978,3.81765,-0.0148956,8.14775,-0.197252
2010,EXP,10.7,25.1,25.3,2009-09-30,0.0130058,0.579072,74.2897,58.7409,71.0813,17.0799,2.26548,0.0256346,3.22134,246.237,0.0944862,0.124897,0.577358,1,0.611553,0.622131,35.6256,8.56035,-0.0081527,13.4007,0.319204
2010,FCN,-11.4,-2.8,20.3,2009-09-30,0.0342658,0.462863,0,6.99103,30.016,3.41346,1.85634,0.0511546,3.10976,85.358,0.809851,0.056961,0,0,0.803689,0.696782,38.8679,4.4201,0.00228765,0,-0.0614613
2010,GLNG,156.3,116.3,47.5,2009-09-30,0.00157643,1.38738,0,41.47,64.6858,47.0429,1.12156,-0.0435174,2.71234,1.18249,0.0161954,0.915043,0,0.302298,0.61438,-0.357862,32.8215,23.8695,-0.00340919,0,-0.683352
2010,GNTX,118.4,64.4,38.4,2009-09-30,0.0455169,0.51601,41.4363,10.3194,37.5637,-7.84925,6.74311,0.0149721,1.42402,55.7911,0.904371,0,0.174616,0.298019,0.802002,1.0889,44.2165,-9.23941,0.0146712,-5.86405,-0.468854
2010,GRC,2.6,34.9,33.2,2009-09-30,0.0372292,5.18226,82.4337,6.03009,39.5239,-3.00951,2.39196,0.0146538,3.23141,117.125,0.464192,0.587372,0.779385,0.535348,0.85759,4.0639,39.9044,-3.03848,-0.019255,3.61907,1.86322
2010,KFY,129.4,20.7,22.3,2009-10-31,0.00367642,1.7549,0,3.59455,67.0916,-23.2983,2.18485,-0.0104756,-0.880146,-17.5062,0.579462,0.55275,,0.737239,0.496683,1.1897,36.5881,-12.7056,-0.0329644,0,0.53302
2010,LNN,56.6,83.8,28.7,2009-08-31,0.0142053,1.72356,74.6771,6.15624,71.6971,-9.57054,3.20221,0.0564027,15.9625,94.9426,0.177609,0.334424,0.429813,0.475021,0.959527,1.2781,42.264,-5.64165,-0.0652448,30.8925,0.544363
2010,MLKN,94.5,27.5,18.0,2009-08-29,0.0307381,0.537037,20.1201,3.36916,43.6643,8.072,1.8131,0.0240502,3.2381,25.1398,0,0.132694,0.958006,0.421072,0.49561,0.736953,21.1552,3.91085,-0.082394,3.18293,-0.195106
2010,MTZ,39.2,21.0,26.4,2009-09-30,0.0264053,0.50999,8.53016,2.85581,25.4987,4.8185,1.66766,0.030094,1.53285,21.6597,0.468947,0.0650878,0.131493,0.231262,0.665358,1.08944,52.1257,9.85021,-0.0214524,0.59838,-0.512079
2010,NX,113.5,19.8,25.3,2009-10-31,0.0454547,0.0175186,28.0481,2.22556,2.05611,-0.575193,2.82817,0.0441774,1.81775,24.664,0.790139,0,0.362664,0.115955,0.882711,0.417725,14.1819,-3.96737,0.00280347,-0.816241,-0.488921
2010,PDS,114.7,29.7,31.7,2009-09-30,0.0115817,0.467378,5.72994,10.3225,33.1981,8.39631,2.53108,0.00294315,0.27823,15.9557,0.0798207,0,0.292173,0.157668,0.106737,2.19958,25.2721,6.39169,-0.0411121,0.715009,-2.84248
2010,PKE,63.3,5.2,17.3,2009-08-30,0.0186926,0.20605,31.3817,6.26938,46.3988,-30.5903,10.5295,0.0113678,1.13333,51.1882,0.62488,0,0.398129,0.112897,0.239387,1.0008,35.7867,-23.5938,0.00305533,0.226605,-0.989927
2010,PKG,76.8,31.8,26.9,2009-09-30,0.0552612,0,42.4029,4.5732,29.1608,5.26007,2.30108,0.0248387,0.936549,80.5361,0.489574,0,0.567701,0.410284,0.589292,0.699877,24.9364,4.49806,0.011857,3.88739,-0.908223
2010,PTEN,79.5,44.9,33.8,2009-09-30,-0.0111531,1.49148,26.71,12.373,48.1746,-2.63555,2.19437,-0.0185384,-3.30786,19.9111,5.16468e-05,0.525338,0.638869,1,0,1.44898,13.3952,-0.732828,-0.0812123,16.5482,-0.760056
2010,SSD,21.0,18.6,27.7,2009-09-30,0.0269669,0.392714,150.908,6.11576,35.8666,-7.72045,6.92499,0.0383144,3.96261,183.951,0.510379,0.00169574,0.142975,0.469619,1,1.58167,38.7941,-8.35061,-0.0215407,-23.1181,-0.076802
2010,STN,33.8,15.3,24.4,2009-09-30,0.0423989,0.236497,18.4634,4.81007,31.737,5.48456,1.56675,0.0496107,-6.29703,-20.048,0.463957,0,0.797906,0.422242,0.817538,0.817193,45.3946,7.84475,-0.0114809,3.54865,-0.727768
2010,TREX,121.9,33.4,29.8,2009-09-30,-0.0891173,0.13542,78.0095,5.0745,-25.8032,-3.34803,2.42115,0.0679238,-0.866753,78.8368,0.512098,0,0.0934625,0.242229,0.605711,0.326649,,,-0.118825,6.60577,-0.0843517
2010,TTEK,11.8,-2.0,21.2,2009-09-30,0.049113,0.82472,0,2.68725,37.6004,-1.90582,1.51743,0.0519268,4.4303,53.3179,0.59001,0.330777,0,0.486961,0.9504,0.848902,56.5836,-2.86801,-0.00506658,0,0.0735274
2010,WCC,54.0,88.3,44.0,2009-09-30,0.0244364,0.667863,47.8532,1.58786,30.5318,10.2261,2.22873,0.0672724,2.5626,57.412,0,0.293932,0.336901,0.173789,0.391744,0.927742,19.779,6.6246,-0.0408341,2.9395,-0.913192
2010,WOR,36.9,14.7,18.9,2009-08-31,-0.00446971,0.487481,56.9177,1.80806,25.779,3.85548,1.66122,0.137815,14.416,62.1813,0.740943,0,0.188281,0.7347,0.665981,0.804795,25.4282,3.80302,-0.0632788,-22.2846,-0.415745
2010,WSO,67.4,10.9,26.5,2009-09-30,0.0427135,1.03903,72.2972,2.16405,36.5193,-0.487933,3.01136,0.00511079,0.402491,79.5191,0.537463,0.262349,0,0,0.164538,0.642422,57.1972,-0.764209,-0.015513,-8.68731,0.223652
2011,AGI,15.3,22.8,15.2,2010-09-30,0.0237516,3.79482,166.928,52.934,63.3798,-5.60188,9.35134,-0.00233092,0.547954,105.927,0.259212,0.369357,0.31427,1,0.346415,2.9163,96.6934,-8.54632,-0.0341768,21.8689,2.21528
2011,AZZ,18.4,19.5,3.6,2010-08-31,0.0438235,0.56094,67.4364,6.0308,26.0431,4.47326,3.07637,0.0011929,0.398535,116.246,0.217277,0.100971,0.265331,1,0.123679,0.826006,34.1221,5.86094,-0.0156612,2.59078,-0.333087
2011,CBRL,17.8,11.5,11.3,2010-10-29,0.0405332,1.20803,83.0089,2.96945,29.4125,9.05554,1.34061,-0.0228293,-0.418682,33.917,0.869983,0.332453,0.886492,0.555914,0.246537,1.10848,38.0554,11.7165,0.00263091,5.57699,0.154689
2011,CECO,-24.1,-64.8,3.6,2010-09-30,0.0195513,0.199085,16.1802,9.36705,163.573,5.0098,1.77682,0.00511946,2.46805,19.8735,0.830735,0.121177,0.75231,0.591083,0.49207,0.388219,237.967,7.28829,0.0249326,-1.17367,-0.134834
2011,CHH,25.3,-10.4,9.1,2010-09-30,0.242184,2.6102,6.92642,12.7864,39.8547,3.03485,0.934782,0.0281923,1.64555,-1.77039,0.912424,0.709166,0.00502475,0.256916,0.918713,1.98401,51.9256,3.95402,0.00604234,-961.752,1.3988
