yr,ticker,sec,mb,cr,r40,mc,mom,ret,qqq
2007,AAP,Cons,0.022,0.040,0.286,0.933,15.2,-9.5,-2.2
2007,ABG,Cons,0.007,0.100,0.150,0.364,27.2,-43.1,-1.2
2007,AEM,Basi,0.957,0.905,0.988,0.997,28.9,60.6,-5.3
2007,AGCO,Indu,0.031,0.364,0.296,0.865,37.4,65.7,-4.0
2007,ALB,Basi,0.406,0.616,0.298,0.889,32.1,3.3,1.0
2007,ALV,Cons,0.040,0.289,0.383,0.880,7.2,-19.2,-0.1
2007,ARLP,Ener,0.331,0.271,0.623,0.510,-3.7,4.8,1.8
2007,AROC,Ener,0.680,0.452,0.812,0.526,25.6,-0.3,-1.3
2007,ASR,Indu,0.694,0.743,0.938,0.499,25.6,17.5,-3.9
2007,AVNT,Basi,0.053,0.510,0.097,0.286,-13.8,-13.4,0.1
2007,AXON,Indu,0.754,0.845,0.877,0.191,18.0,49.4,-1.4
2007,AZZ,Indu,0.588,0.397,0.831,0.010,59.6,13.2,15.1
2007,BAK,Basi,0.824,0.685,0.622,0.765,18.0,0.5,-1.6
2007,BALL,Cons,0.098,0.239,0.594,0.990,12.6,-6.3,0.6
2007,BC,Cons,0.289,0.330,0.129,0.840,5.6,-46.3,0.8
2007,BJRI,Cons,0.886,0.258,0.677,0.194,-9.1,-20.0,-0.1
2007,BKNG,Cons,0.783,0.304,0.601,0.689,26.0,128.3,5.5
2007,BTE,Ener,0.999,0.927,0.012,0.556,-13.4,54.0,17.6
2007,BVN,Basi,0.746,0.846,0.972,0.887,0.7,168.9,5.8
2007,BWA,Cons,0.163,0.299,0.346,0.913,29.4,21.9,-4.7
2007,BXC,Indu,0.076,0.833,0.041,0.092,12.3,-61.3,0.2
2007,BYD,Cons,0.950,0.820,0.141,0.941,30.0,-50.1,-1.1
2007,CAKE,Cons,0.069,0.144,0.353,0.710,1.1,-23.0,1.5
2007,CASY,Cons,0.094,0.327,0.372,0.512,7.9,6.2,1.1
2007,CBRL,Cons,0.238,0.251,0.133,0.628,15.4,-26.7,-1.9
2007,CBT,Basi,0.672,0.151,0.477,0.852,23.4,-38.4,-0.2
2007,CBZ,Indu,0.603,0.045,0.223,0.150,-6.9,24.2,0.6
2007,CDE,Basi,0.963,0.507,0.839,0.523,-0.8,3.0,-3.0
2007,CE,Basi,0.371,0.189,0.419,0.960,54.6,38.4,2.8
2007,CECO,Indu,0.589,0.682,0.887,0.122,43.7,-56.4,-2.3
2007,CENX,Basi,0.755,0.594,0.848,0.591,50.1,24.8,-0.8
2007,CHH,Cons,0.352,0.129,0.745,0.783,-1.2,-18.2,0.4
2007,CLF,Basi,0.711,0.765,0.603,0.727,48.9,114.3,-6.1
2007,CLH,Indu,0.239,0.067,0.510,0.411,8.5,21.1,3.0
2007,CMC,Basi,0.123,0.264,0.446,0.886,41.7,9.4,2.5
2007,CMCO,Indu,0.249,0.375,0.362,0.158,36.3,-1.0,1.0
2007,CMG,Cons,0.213,0.293,0.617,0.676,24.0,78.1,-0.3
2007,CMP,Basi,0.695,0.389,0.230,0.450,12.4,33.2,-0.3
2007,CPA,Indu,0.934,0.506,0.000,0.714,52.8,-26.5,2.1
2007,CRAI,Indu,0.435,0.529,0.592,0.280,10.9,-48.9,-3.4
2007,CRI,Cons,0.139,0.600,0.418,0.581,-5.9,-14.6,0.1
2007,CRK,Ener,0.900,0.805,0.842,0.518,8.6,10.7,-0.3
2007,CRS,Basi,0.391,0.139,0.704,0.821,4.7,6.7,1.8
2007,CSL,Basi,0.045,0.664,0.884,0.812,9.9,-29.2,-1.4
2007,CTRN,Cons,0.125,0.312,0.713,0.255,24.6,-63.8,0.3
2007,CW,Indu,0.092,0.169,0.587,0.644,26.8,3.0,-2.0
2007,DDS,Cons,0.199,0.094,0.238,0.793,-1.3,-49.7,-1.2
2007,DECK,Cons,0.521,0.604,0.801,0.331,29.7,107.3,5.2
2007,DHT,Indu,0.402,0.543,0.730,0.129,7.3,-20.6,-1.9
2007,DINO,Ener,0.629,0.501,0.367,0.828,23.8,-10.7,0.3
2007,DKS,Cons,0.293,0.584,0.595,0.834,19.5,-5.6,-2.5
2007,DY,Indu,0.254,0.123,0.271,0.377,-1.3,-34.8,1.1
2007,EGY,Ener,0.705,0.940,0.701,0.043,-24.4,-9.3,1.2
2007,ENS,Indu,0.089,0.148,0.456,0.326,-2.5,50.3,-2.7
2007,EPAC,Indu,0.109,0.381,0.629,0.620,4.0,13.5,-2.4
2007,EQT,Ener,0.673,0.563,0.815,0.806,23.7,23.4,1.8
2007,ESLT,Indu,0.304,0.541,0.771,0.550,11.4,56.8,-6.6
2007,ET,Ener,0.642,0.896,0.028,0.987,4.4,11.5,3.9
2007,EXP,Basi,0.686,0.488,0.516,0.743,45.9,-29.1,0.5
2007,EXPE,Cons,0.101,0.122,0.506,0.908,40.1,2.1,-4.9
2007,FCN,Indu,0.314,0.540,0.782,0.532,30.5,66.2,-2.1
2007,FIX,Indu,0.113,0.205,0.534,0.202,14.4,-12.3,1.5
2007,FMC,Basi,0.290,0.078,0.543,0.754,17.3,36.8,0.5
2007,FRO,Indu,0.890,0.717,0.733,0.768,-8.5,31.1,-0.8
2007,FSS,Indu,0.739,0.229,0.493,0.334,6.5,-34.5,-2.0
2007,FTK,Ener,0.386,0.828,0.957,0.757,192.0,-3.0,-10.5
2007,FUL,Basi,0.188,0.287,0.111,0.639,21.5,-19.6,4.4
2007,FUN,Cons,0.974,0.745,0.783,0.588,9.2,-23.7,-2.9
2007,FWRD,Indu,0.142,0.120,0.490,0.402,-8.1,-5.5,-0.2
2007,GBX,Indu,0.481,0.694,0.655,0.133,-3.2,-26.3,6.2
2007,GEO,Indu,0.235,0.667,0.843,0.399,67.5,2.4,1.5
2007,GIL,Cons,0.355,0.482,0.862,0.836,0.6,45.6,1.1
2007,GLNG,Ener,0.503,0.657,0.953,0.434,0.5,65.2,2.9
2007,GME,Cons,0.537,0.897,0.762,1.000,33.6,50.8,-9.1
2007,GNTX,Cons,0.220,0.119,0.573,0.752,20.7,-5.4,1.5
2007,GPK,Cons,0.380,0.048,0.194,0.472,48.5,-41.4,-1.4
2007,GRC,Indu,0.358,0.328,0.214,0.157,34.6,-3.3,-2.0
2007,GT,Cons,0.619,0.066,0.145,0.956,71.6,0.6,0.2
2007,HBM,Basi,0.949,0.777,0.946,0.739,47.2,-4.1,-1.6
2007,HEI,Indu,0.282,0.387,0.726,0.425,4.9,25.9,2.7
2007,HL,Basi,0.906,0.947,0.975,0.412,45.1,28.5,-3.7
