yr,ticker,sec,mb,cr,r40,mc,mom,ret,qqq
2008,AAP,Cons,0.025,0.019,0.222,0.877,-8.6,-9.3,-48.3
2008,ABG,Cons,0.004,0.081,0.148,0.180,-44.8,-83.9,-8.3
2008,AGI,Basi,0.895,0.148,0.708,0.349,17.2,-20.0,-53.1
2008,ALB,Basi,0.459,0.355,0.307,0.904,8.2,-42.7,-30.6
2008,ALGT,Indu,0.673,0.630,0.859,0.207,-24.9,61.1,-86.5
2008,ALV,Cons,0.066,0.213,0.400,0.807,-15.3,-61.6,-18.7
2008,ARLP,Ener,0.355,0.303,0.262,0.570,4.9,-5.7,-50.9
2008,AROC,Ener,0.852,0.985,0.993,0.846,2.3,-75.0,-13.6
2008,ASR,Indu,0.559,0.723,0.807,0.652,18.1,-46.5,-26.9
2008,AVAV,Indu,0.642,0.582,0.421,0.177,-10.0,50.3,-93.6
2008,AVNT,Basi,0.501,0.412,0.219,0.271,-14.8,-65.9,-14.7
2008,AXON,Indu,0.837,0.609,0.924,0.370,38.9,-65.8,-19.8
2008,AZZ,Indu,0.297,0.447,0.768,0.103,27.6,-23.9,-43.6
2008,BAK,Basi,0.714,0.768,0.916,0.892,9.8,-75.9,-14.7
2008,BALL,Cons,0.304,0.261,0.336,0.939,-8.2,-5.0,-45.6
2008,BC,Cons,0.327,0.120,0.183,0.642,-43.3,-82.6,-8.5
2008,BCPC,Basi,0.783,0.943,0.961,0.088,29.2,-3.4,-52.2
2008,BJRI,Cons,0.922,0.114,0.636,0.105,-25.5,-29.0,-32.4
2008,BKNG,Cons,0.844,0.333,0.729,0.988,122.3,-32.8,-33.9
2008,BTE,Ener,0.994,0.691,0.945,0.702,23.9,-59.5,-26.7
2008,BWA,Cons,0.148,0.232,0.463,0.991,23.1,-58.7,-17.6
2008,BYD,Cons,0.951,0.772,0.834,0.735,-50.5,-83.6,-9.0
2008,CASY,Cons,0.060,0.271,0.532,0.565,1.8,-24.6,-45.5
2008,CBRL,Cons,0.388,0.259,0.243,0.432,-18.5,-53.2,-27.3
2008,CBT,Basi,0.570,0.321,0.298,0.706,-33.9,-52.1,-24.0
2008,CDE,Basi,0.946,0.517,0.265,0.810,2.6,-85.5,-7.9
2008,CENX,Basi,0.706,0.516,0.250,0.787,22.2,-94.7,-2.7
2008,CHDN,Cons,0.945,0.802,0.858,0.319,9.7,-45.3,-33.7
2008,CHH,Cons,0.351,0.136,0.747,0.729,-16.8,-24.0,-29.7
2008,CLH,Indu,0.375,0.046,0.492,0.561,31.2,-21.0,-42.6
2008,CLMT,Basi,0.564,0.480,0.405,0.487,-16.2,-66.7,-16.6
2008,CMC,Basi,0.312,0.409,0.432,0.916,12.2,-65.6,-15.5
2008,CMCO,Indu,0.211,0.033,0.427,0.195,-0.2,-53.5,-25.1
2008,CMG,Cons,0.166,0.138,0.723,0.895,76.4,-55.7,-19.9
2008,CMP,Basi,0.678,0.681,0.904,0.618,43.7,38.9,-56.2
2008,CODI,Indu,0.322,0.982,0.964,0.091,-31.2,-29.4,-34.6
2008,CPA,Indu,0.984,0.474,0.003,0.666,-22.0,-27.0,-35.6
2008,CRAI,Indu,0.394,0.193,0.574,0.238,-6.3,-47.7,-35.4
2008,CRI,Cons,0.270,0.576,0.333,0.564,-12.1,-0.1,-30.7
2008,CRK,Ener,0.616,0.933,0.946,0.601,13.4,23.6,-50.1
2008,CROX,Cons,0.502,0.930,0.963,0.808,14.6,-96.3,-1.8
2008,CRS,Basi,0.486,0.298,0.373,0.868,15.8,-73.1,-14.2
2008,CSL,Basi,0.099,0.646,0.511,0.759,-19.4,-50.6,-23.4
2008,CW,Indu,0.052,0.255,0.742,0.681,2.9,-23.3,-34.4
2008,DAC,Indu,0.637,0.331,0.792,0.573,0.4,-83.5,-8.4
2008,DDS,Cons,0.321,0.064,0.124,0.555,-48.3,-79.7,-11.1
2008,DECK,Cons,0.450,0.709,0.933,0.649,106.2,-56.2,-23.8
2008,DHT,Indu,0.391,0.393,0.709,0.069,-18.7,-44.9,-20.3
2008,DINO,Ener,0.795,0.579,0.829,0.817,0.2,-51.7,-21.1
2008,DKS,Cons,0.276,0.250,0.561,0.841,-6.8,-56.9,-28.6
2008,DMLP,Ener,0.079,0.787,0.925,0.286,-1.6,-12.0,-17.9
2008,DRI,Cons,0.315,0.402,0.534,0.918,-27.7,-3.6,-51.4
2008,DY,Indu,0.469,0.207,0.223,0.276,-34.8,-68.3,-18.5
2008,EBF,Indu,0.108,0.166,0.412,0.160,-27.9,-48.2,-21.8
2008,EGY,Ener,0.928,0.909,0.981,0.000,-11.1,3.2,-51.3
2008,ENS,Indu,0.247,0.366,0.795,0.550,56.1,-61.9,-16.5
2008,EPAC,Indu,0.028,0.016,0.549,0.700,13.7,-71.8,-12.4
2008,EQT,Ener,0.655,0.448,0.625,0.906,28.5,-32.0,-33.1
2008,ESLT,Indu,0.349,0.295,0.622,0.786,72.8,-24.0,-43.1
2008,EXP,Basi,0.823,0.702,0.130,0.624,-30.1,-48.2,-25.0
2008,EXPE,Cons,0.214,0.294,0.751,0.882,6.4,-64.0,-17.1
2008,FCN,Indu,0.285,0.427,0.783,0.798,68.8,-34.6,-39.4
2008,FIX,Indu,0.289,0.253,0.282,0.166,-18.1,-20.0,-43.9
2008,FMC,Basi,0.291,0.052,0.411,0.874,37.7,-13.6,-37.4
2008,FRO,Indu,0.909,0.703,0.315,0.889,36.1,-50.2,-26.8
2008,FSS,Indu,0.498,0.235,0.351,0.282,-25.6,-48.5,-28.3
2008,FTK,Ener,0.330,0.832,0.753,0.714,-17.8,-90.9,-4.0
2008,FUL,Basi,0.229,0.249,0.138,0.574,-22.9,-36.5,-37.0
