ticker,yr,deuda,caja
AAT,2019,1290772000,47956000
AIMC,2023,1087500000,208900000
ALKS,2022,416206000,337544000
ATGE,2007,125000000,130583000
ATGE,2023,1066734000,346973000
AXL,2014,1559100000,154000000
AXL,2015,1536400000,249200000
BALL,2009,2410100000,127400000
BCC,2017,437629000,103978000
BCC,2018,438312000,177140000
BDC,2017,1620161000,848116000
BDC,2023,1237259000,687676000
BWA,2007,721100000,123300000
BWA,2008,636300000,188500000
CATM,2011,254833000,3189000
CATM,2012,370949000,5576000
CATM,2017,502539000,73534000
CATM,2020,829351000,30115000
CIR,2008,22102000,34662000
CIR,2014,49638000,102180000
CBRE,2010,3010677000,741557000
CCOI,2013,395432000,247285000
CCOI,2014,496081000,304866000
CCOI,2020,1049037000,399422000
CCS,2022,1348171000,368607000
CNK,2015,2041469000,638869000
CTRE,2019,489765000,36792000
CVLT,2012,0,217170000
CVLT,2013,0,297088000
DCOM,2016,1166725000,64154000
DIOD,2019,224010000,241053000
DLX,2013,652600000,45400000
DRQ,2010,1039000,197792000
EPAC,2010,405099000,11385000
EPAC,2023,248185999,120699000
EVBG,2018,89481000,102754000
EVBG,2019,94524000,59978000
EVBG,2020,430282000,531575000
EXLS,2022,347379000,141511000
FMC,2008,545200000,75500000
FORM,2020,94124000,144545000
FWRD,2022,320066000,37316000
GLOB,2016,548000,36720000
GLOB,2019,3418000,77606000
GLOB,2020,112749000,62721000
GMS,2022,1102191000,167012000
GNTX,2014,273125000,309591724
GOLF,2021,333929000,151452000
GRBK,2021,222459000,19479000
HEI,2008,55952000,4947000
HEI,2012,40158000,17500000
HEI,2014,377515000,15499000
HIMX,2014,105500000,127320000
HUBG,2022,334898000,159784000
HURN,2007,10282000,16572000
HURN,2012,193500000,5080000
HURN,2019,296985000,33107000
HURN,2023,346086000,11834000
INSP,2019,24926000,97288000
INSP,2020,25350000,22860000
IRBT,2017,0,214523000
KFRC,2015,93895000,1238000
KFRC,2019,73159000,112000
KFRC,2022,118257000,96989000
KNX,2015,134400000,17066000
LDL,2017,128775000,71934000
LNW,2012,1390667000,104402000
LNW,2018,8776600000,788800000
LSI,2016,830993000,7032000
LSI,2019,1714122000,13560000
MAX,2021,182668000,23554000
MED,2018,0,75077000
MELI,2011,2851220,56830466
MELI,2012,4409014,67381677
