ticker,yr,deuda,caja
AAP,2009,613138000,37358000
ABG,2012,932200000,11400000
ABG,2015,1541900000,2900000
AGCO,2007,785000000,401100000
AMRC,2011,207131602,44691021
AMRC,2019,246052000,61397000
ARCB,2017,243673000,114280000
ARCB,2021,403545000,303954000
ARCB,2022,337107000,76620000
ARCO,2017,579679000,194803000
ARLP,2011,722460000,339562000
AVNT,2013,706900000,210000000
AZZ,2013,225000000,143302666
AZZ,2016,337848000,22527000
BC,2013,571800000,284300000
BCPC,2011,4914000,77253000
BJRI,2015,58000000,30683000
BJRI,2019,95000000,29224000
BOOT,2020,185595000,16614000
BURL,2015,1250443000,25349000
BYD,2016,3269549000,158821000
BYD,2018,3075880000,203104000
CBRL,2015,375000000,119361000
CBT,2023,1526000000,206000000
CE,2007,3498000000,791000000
CHH,2015,794431000,214879000
CLH,2008,124734000,119538000
CLH,2019,1572556000,226507000
CMC,2007,442248000,180719000
CMC,2020,1244653000,192461000
CMC,2022,1069781000,497745000
CPS,2016,777912000,378243000
CRAI,2023,121980000,31447000
CRI,2009,338026000,162349000
CSL,2013,752300000,112500000
CSW,2021,29133000,18338000
CSW,2023,325319000,16619000
