yr,ticker,fecha,ret,ps
2007,AAON,2007-03-14,-9.54,1.0200
2007,AGX,2007-04-26,114.06,1.0100
2007,ALNT,2007-03-20,-26.59,0.7800
2007,ARCB,2007-01-24,-28.61,0.5100
2007,ATI,2007-01-24,-32.88,2.0800
2007,ATRO,2007-03-16,25.35,0.6200
2007,AXON,2007-02-21,38.88,7.8200
2007,AZZ,2007-01-05,27.61,1.3200
2007,BBSI,2007-02-08,-25.97,1.0200
2007,CAR,2007-02-20,-57.45,0.2400
2007,CECO,2007-03-22,-57.78,3.2300
2007,CLH,2007-03-14,31.23,0.6800
2007,CMCO,2007-01-23,-0.20,0.8300
2007,CODI,2007-03-12,-31.23,0.4400
2007,CPA,2007-03-07,-22.04,2.6400
2007,CRAI,2007-01-11,-45.13,1.9000
2007,CW,2007-02-08,2.91,1.3700
2007,DAC,2007-03-07,0.37,5.3400
2007,DXPE,2007-03-15,11.42,0.6000
2007,DY,2007-02-27,-34.81,0.8400
2007,ENS,2007-02-07,56.12,0.5400
2007,EPAC,2007-03-22,13.66,1.2500
2007,ESLT,2007-03-14,72.80,0.9100
2007,FCN,2007-02-15,68.77,1.8900
2007,FIX,2007-02-28,-18.07,0.5200
2007,FRO,2007-02-26,36.06,1.6200
2007,FSS,2007-02-22,-25.60,0.6600
2007,FWRD,2007-02-12,-3.95,2.6700
2007,GBX,2007-01-09,-35.40,0.4400
2007,GEO,2007-02-27,9.04,1.0900
2007,GRC,2007-02-15,-4.61,1.7700
2007,HEI,2007-02-28,24.77,2.3600
2007,HLIO,2007-03-06,58.82,1.8400
2007,HTLD,2007-01-25,-8.82,2.7800
2007,HUBG,2007-02-12,-8.12,0.7400
2007,HURN,2007-02-22,-9.28,3.1400
2007,KAI,2007-02-14,10.35,1.0800
2007,KFY,2007-03-08,-28.65,1.6600
2007,LNN,2007-01-08,131.74,1.5300
2007,MRCY,2007-01-25,0.46,1.2900
2007,MTZ,2007-03-08,-28.11,0.7700
2007,PKE,2007-05-01,3.16,2.2600
2007,RGR,2007-03-05,-9.64,1.5400
2007,STN,2007-02-22,38.96,1.5300
2007,TREX,2007-03-26,-67.53,1.0100
2007,TTEK,2007-01-31,5.00,0.7300
2007,WCC,2007-02-01,-34.93,0.6300
2007,WLFC,2007-04-02,20.40,3.1500
2007,WOR,2007-03-29,-17.77,0.3600
2007,WSO,2007-02-13,-31.45,0.8100
2008,AAON,2008-03-12,3.61,0.8100
2008,AGX,2008-04-24,13.06,0.7400
2008,ALGT,2008-01-29,59.42,1.3700
2008,ALNT,2008-03-14,-68.22,0.5900
2008,ARCB,2008-01-25,-13.15,0.3700
2008,ATI,2008-01-23,-66.41,1.2400
2008,ATRO,2008-02-14,-59.55,0.5600
2008,AVAV,2008-03-03,44.65,2.2500
2008,AXON,2008-02-14,-60.79,7.7300
2008,AZZ,2008-01-04,-14.87,1.2300
2008,BBSI,2008-02-08,-40.81,0.6600
2008,CAR,2008-02-13,-95.71,0.2100
2008,CECO,2008-03-10,68.22,0.8400
2008,CLH,2008-02-27,-16.39,0.7800
2008,CMCO,2008-01-24,-47.78,0.7900
2008,CODI,2008-03-12,-29.87,0.4200
2008,CPA,2008-02-21,-25.97,1.6900
2008,CRAI,2008-01-10,-49.19,1.4000
2008,CW,2008-02-11,-28.05,1.1500
2008,CYD,2008-07-17,-21.47,0.2500
2008,DAC,2008-03-10,-81.48,4.9600
2008,DXPE,2008-03-05,-49.52,0.5200
2008,DY,2008-02-26,-67.72,0.4800
2008,EBF,2008-06-23,-47.14,0.7200
2008,ENS,2008-02-06,-62.63,0.6700
2008,EPAC,2008-03-19,-73.10,1.2100
2008,ESLT,2008-03-11,-25.30,1.2300
2008,FCN,2008-02-28,-25.82,2.5700
2008,FIX,2008-02-27,-23.50,0.4000
2008,FRO,2008-02-14,-55.44,2.1300
2008,FSS,2008-02-27,-44.88,0.4700
2008,FWRD,2008-02-11,-26.95,2.2100
2008,GBX,2008-01-08,-62.64,0.2300
2008,GEO,2008-02-13,-45.87,1.2900
2008,GRC,2008-02-15,-14.46,1.5000
2008,HEI,2008-02-28,-27.55,2.3600
2008,HLIO,2008-03-04,-50.86,2.5100
2008,HTLD,2008-01-24,-8.25,2.4000
2008,HUBG,2008-02-06,-26.59,0.6300
2008,HURN,2008-02-20,-26.93,1.7400
2008,ICFI,2008-03-11,-6.95,0.4800
2008,KAI,2008-02-13,-73.27,1.1200
2008,KFY,2008-03-06,-51.05,0.8900
2008,LNN,2008-03-19,-70.61,3.1400
2008,MRCY,2008-01-23,-57.87,1.2900
2008,MTZ,2008-02-27,21.05,0.5200
2008,PKE,2008-05-08,-37.29,2.5000
2008,RGR,2008-02-26,-14.45,1.2100
2008,STN,2008-02-21,-45.11,1.7500
2008,TREX,2008-02-26,21.10,0.3400
2008,TTEK,2008-01-30,18.52,0.6800
2008,WCC,2008-01-31,-55.66,0.3100
2008,WLFC,2008-03-31,19.09,2.7200
2008,WOR,2008-03-20,-43.59,0.2800
2008,WSO,2008-02-19,-3.97,0.5600
2009,AAON,2009-03-11,20.64,0.7400
2009,AGX,2009-04-14,-15.97,0.9400
2009,ALGT,2009-01-26,34.50,1.5400
2009,ALNT,2009-03-19,137.76,0.1800
2009,ARCB,2009-01-29,-1.30,0.3300
2009,ATI,2009-01-21,90.34,0.4100
2009,ATRO,2009-02-12,-11.11,0.2600
2009,AVAV,2009-03-09,-22.17,2.8600
2009,AXON,2009-02-24,53.76,3.2100
2009,AZZ,2009-01-09,16.75,0.8800
2009,BBSI,2009-02-10,27.42,0.3700
2009,CECO,2009-03-12,31.59,1.5000
2009,CLH,2009-02-25,3.22,0.6700
2009,CMCO,2009-01-22,9.12,0.3900
2009,CODI,2009-03-13,61.38,0.1700
2009,CPA,2009-02-19,69.41,1.0000
2009,CW,2009-02-17,1.39,0.7300
2009,DAC,2009-03-11,2.91,0.8200
2009,DXPE,2009-03-10,20.69,0.1600
2009,DY,2009-02-24,78.91,0.1500
2009,EBF,2009-04-24,97.55,0.4000
2009,ENS,2009-02-04,119.62,0.2100
2009,EPAC,2009-03-18,155.56,0.3400
