ticker,yr,fy,roic,fcfy,iq,capexrev,ccc
AAP,2009,2009-01-03,0.147659,0.090902,2.0112,0.035974,113.14
AAT,2019,2018-12-31,0.036671,0.043496,5.0183,0.164450,-103.96
ABG,2012,2011-12-31,0.064336,-0.367265,-2.6672,0.017072,66.65
ABG,2015,2014-12-31,0.081498,0.011410,0.7545,0.009936,77.81
AGCO,2007,2006-12-31,-0.674809,0.111449,-6.8136,0.023753,74.36
AIMC,2023,2022-12-31,0.048403,0.017765,0.9843,0.028733,98.00
AMRC,2011,2010-12-31,0.072319,-0.031643,0.7258,0.064097,-10.79
AMRC,2019,2018-12-31,0.054239,-0.283534,-1.4158,0.164667,13.57
ARCB,2017,2016-12-31,0.023643,0.044261,5.9113,0.029162,20.38
ARCB,2021,2020-12-31,0.055505,0.136960,2.8972,0.019553,20.03
ARCB,2022,2021-12-31,0.143904,0.080268,1.5151,0.020836,24.81
ARCO,2017,2016-12-31,0.103317,0.062430,2.0834,0.031510,-10.03
ARLP,2011,2010-12-31,0.256322,0.095570,2.1005,0.180039,17.00
ALKS,2022,2021-12-31,0.054137,0.019419,-2.1116,0.024724,276.56
ATGE,2007,2006-06-30,0.070277,0.042278,2.1095,0.029960,-11.73
ATGE,2023,2022-06-30,0.020165,-0.011751,-0.2948,0.022473,-10.05
AVNT,2013,2012-12-31,0.063502,0.027206,1.4889,0.019181,30.51
AXL,2014,2013-12-31,0.101740,-0.018793,2.3598,0.078540,28.69
AXL,2015,2014-12-31,0.083777,0.065436,2.2266,0.055871,30.12
AZZ,2013,2012-02-29,0.089248,0.070159,1.5727,0.042173,121.89
AZZ,2016,2015-02-28,0.095070,0.076148,1.8194,0.035971,105.92
BALL,2009,2008-12-31,0.090459,0.080423,1.9643,0.040587,47.23
BC,2013,2012-12-31,0.126709,0.017418,1.0902,0.033716,71.99
BCC,2017,2016-12-31,0.062417,0.078342,3.9710,0.021370,45.17
BCC,2018,2017-12-31,0.081249,0.049393,1.8271,0.017024,44.21
BCPC,2011,2010-12-31,0.164694,0.033288,1.1729,0.029627,58.16
BDC,2017,2016-12-31,0.071707,0.082871,2.4661,0.022903,42.11
BDC,2023,2022-12-31,0.120738,0.055894,1.1039,0.040320,59.80
BJRI,2015,2014-12-31,0.049477,0.008565,3.6515,0.104219,-5.77
BJRI,2019,2018-12-31,0.103282,0.067890,2.6160,0.054581,-0.25
BOOT,2020,2019-03-31,0.107882,0.042135,1.6211,0.035431,98.85
BURL,2015,2014-01-31,0.057895,0.012808,17.9165,0.037711,26.89
