VECO 46.17/331.9 47.59/412.9 46.76/277.2 47.86/397.0 47.20/483.7 47.42/1147.0 50.91/748.0 54.40/743.5 52.40/346.1 53.58/328.6 53.26/781.6 50.16/666.3 49.34/1040.5 52.79/1005.5 51.61/1588.3 52.96/1319.9 53.80/651.2 50.97/703.6 50.00/993.4 48.37/781.6 42.99/1271.9 45.68/1463.2 48.49/919.2
VSH 30.66/6378.9 31.31/2415.9 30.43/2496.6 31.63/2242.2 31.83/3162.7 31.96/3226.2 33.52/3211.6 35.58/3222.7 35.08/2933.2 33.32/3619.9 33.55/3094.7 33.29/1828.7 33.14/3070.6 35.41/4707.3 32.78/7141.5 33.18/11397.6 38.85/9300.0 35.40/3499.2 34.22/4533.1 33.79/5681.1 29.96/6512.3 32.72/6604.3 37.18/4352.3
HIMX 13.84/522.0 13.67/696.1 13.44/973.9 13.79/1181.5 13.67/942.6 13.90/924.3 14.37/1160.7 15.41/892.9 15.23/846.4 14.66/1489.6 15.09/1375.2 14.98/1225.6 14.73/2222.9 14.61/2076.0 13.76/2493.4 13.35/2197.2 14.18/2523.8 12.78/1328.3 12.54/1583.8 12.54/1486.0 11.64/1730.6 11.98/1900.9 12.73/847.2
NTCT 38.50/442.8 38.06/458.4 37.81/460.5 38.49/556.2 38.04/522.8 38.35/645.6 38.94/592.8 39.14/570.7 39.67/599.3 39.72/629.3 39.49/742.6 38.60/874.9 38.64/848.1 38.44/763.7 40.13/644.5 41.02/473.5 42.21/454.7 40.94/596.0 40.67/462.7 40.04/317.5 38.93/484.3 39.69/421.7 39.98/477.1
VNET 6.59/4750.4 6.89/13729.1 6.47/4097.2 6.72/3417.4 6.65/5607.0 6.80/5059.1 6.58/16500.1 7.92/7113.0 7.60/3255.4 7.45/3145.3 7.43/3051.9 7.51/2551.1 7.48/4692.2 7.33/2600.4 7.01/1861.4 7.23/2555.1 7.22/3291.2 7.15/4861.0 7.17/8667.6 7.32/6982.0 6.29/5131.0 6.75/6953.5 7.17/3459.8
ROG 126.14/123.6 124.74/148.1 122.84/164.5 126.55/170.3 126.54/173.3 129.68/199.0 136.75/208.5 145.94/195.8 142.91/160.8 137.71/140.1 138.58/246.9 135.06/256.6 128.41/107.6 134.49/128.5 133.73/195.1 132.18/250.5 132.37/291.2 125.59/296.5 123.47/270.8 122.14/230.2 116.79/573.2 119.18/337.3 129.32/229.4
DIOD 90.54/560.3 92.95/646.2 89.75/502.4 94.04/719.8 90.74/459.6 94.32/705.0 99.10/742.7 107.56/918.9 103.48/2219.2 97.19/1577.9 107.04/423.3 103.15/302.1 100.94/435.4 105.17/640.8 98.72/791.9 85.59/539.4 88.29/583.0 82.09/379.1 82.32/591.9 82.00/643.1 76.09/689.0 80.29/436.0 85.90/337.8
ATEN 25.89/1147.6 25.13/987.6 25.23/2115.8 26.12/2469.3 25.53/2431.3 25.75/905.2 26.60/944.3 27.35/1023.1 27.40/1248.4 27.00/892.6 27.49/1096.0 27.17/1289.1 28.33/1413.9 26.84/1569.1 27.60/2194.8 30.84/1633.8 30.70/1448.9 29.95/1370.4 29.57/1702.1 29.95/1998.6 28.78/2253.0 31.32/1534.6 33.47/1105.3
SYNA 95.70/664.2 94.87/789.7 93.68/898.3 97.66/981.9 98.00/440.9 100.98/369.6 104.83/491.3 110.58/615.7 108.63/416.8 107.31/534.2 110.04/284.7 106.92/390.7 104.71/527.7 106.19/582.8 102.10/848.0 100.12/1553.5 106.56/925.3 105.72/384.2 107.32/866.2 108.85/878.5 103.64/815.7 110.87/583.2 116.42/374.9
DDD 3.30/1626.1 3.22/1557.8 3.12/1685.2 3.19/2156.4 3.16/2007.7 3.41/2836.5 3.44/1744.3 3.64/2066.7 3.71/2783.0 3.62/1473.9 3.63/2309.0 3.81/2196.5 3.68/2818.6 3.69/3556.7 3.54/5711.5 3.57/9755.6 3.56/18287.0 2.83/4383.3 2.64/2451.2 2.70/2694.5 2.48/1908.6 2.52/1979.9 2.63/1310.3
SONO 15.33/941.5 15.29/786.7 15.41/957.1 15.83/900.3 16.05/996.1 16.28/1384.6 15.79/1627.7 15.45/1596.6 16.31/1481.7 16.59/1650.7 15.75/2055.8 15.07/984.1 15.44/1203.9 15.64/1189.8 15.45/1544.5 15.92/1665.8 16.42/1795.7 15.77/2007.8 14.66/2465.6 14.43/4976.5 17.52/3878.5 16.80/2424.8 15.66/1592.8
NWPX 112.39/161.2 110.59/85.7 110.51/98.7 110.08/146.4 109.82/114.1 111.48/142.1 113.75/99.8 117.04/128.0 116.16/114.5 115.37/120.2 113.67/111.1 111.76/138.9 114.62/235.0 119.72/113.2 118.50/130.0 124.24/163.1 126.89/202.7 127.43/160.0 123.08/596.9 126.87/277.5 123.21/272.3 126.25/260.0 128.26/254.3
ALNT 93.05/118.1 93.10/139.1 93.08/145.6 95.84/406.6 99.43/295.5 101.81/235.6 108.74/249.4 113.02/161.0 111.41/168.2 109.68/316.7 114.28/241.0 113.97/298.7 113.03/346.7 112.81/396.8 111.21/692.9 93.25/209.0 94.56/193.2 90.13/159.4 87.46/165.9 86.21/226.7 78.97/331.4 83.26/402.9 86.78/431.8
HLIO 74.93/171.1 74.27/223.1 73.98/385.8 76.18/217.0 76.31/326.8 76.18/301.2 79.43/263.5 82.00/206.0 81.49/302.3 81.14/340.5 80.82/377.8 81.06/699.8 81.52/326.8 83.39/295.2 82.32/261.8 82.39/338.5 81.46/313.7 80.21/243.5 77.91/195.2 77.71/254.1 74.83/376.6 77.39/294.2 78.48/218.1
DCO 185.36/161.2 181.36/166.3 183.96/141.0 191.65/162.6 189.08/228.0 200.16/172.6 204.27/162.3 205.23/157.7 206.98/136.7 199.03/134.1 201.39/319.2 197.26/240.1 194.85/209.4 197.07/301.4 201.46/413.8 191.72/253.5 191.86/270.6 182.83/251.2 179.02/233.9 183.43/242.2 169.57/232.0 177.66/432.2 183.61/210.0
NMM 85.40/333.1 90.86/151.7 89.72/183.0 88.78/264.4 85.32/281.7 83.58/151.0 82.72/68.9 82.77/161.2 81.88/201.2 81.25/94.8 79.63/57.1 78.41/66.6 78.80/99.2
GRC 77.62/108.7 76.76/111.0 77.82/90.5 78.09/211.7 77.85/109.5 78.52/145.6 78.75/163.8 80.65/101.2 80.81/117.1 79.92/146.3 81.50/212.0 82.79/138.9 81.79/163.1
CTOS 9.59/720.7 9.65/648.5 9.77/769.0 9.77/577.7 9.82/675.9 9.78/782.5 9.95/747.2 10.49/862.9 10.53/652.5 10.26/1336.0 10.82/615.5 10.64/1190.0 10.65/1032.4
VVX 78.00/374.0 76.41/330.3 77.57/621.8 78.50/431.2 79.01/423.8 82.51/436.3 81.46/357.6 82.65/454.3 83.00/288.6 81.27/334.7 81.48/536.1 80.54/525.7 82.92/438.9
SXI 305.13/87.3 304.73/163.4 302.99/108.0 310.28/81.4 309.42/90.8 312.67/83.2 320.89/75.6 326.97/96.7 331.18/91.5 327.78/187.3 330.53/90.6 327.53/100.6 328.14/88.0
MRCY 89.76/587.5 87.74/1093.6 89.59/1434.5 91.36/1117.8 94.23/1129.5 101.25/1723.9 105.00/2040.5 113.36/1182.1 111.12/319.0 109.79/415.6 111.64/362.3 109.15/344.1 108.64/497.6
REAL 10.93/1684.9 11.12/2420.3 11.27/2717.5 11.12/7785.5 11.65/2252.6 11.78/3353.1 11.05/2453.2 11.08/3601.9 11.40/2580.2 10.94/2661.3 11.17/2485.6 11.80/2322.8 11.91/4207.7
MYE 33.31/313.3 32.68/239.3 33.43/294.8 33.53/246.8 33.51/318.5 33.33/556.6 32.15/219.7 33.04/209.0 33.00/229.2 33.19/369.2 32.80/203.0 32.28/348.7 33.16/377.9
MOV 35.00/453.4 34.97/255.4 34.73/166.6 34.81/352.3 35.34/201.0 35.69/134.8 35.36/147.0 35.43/140.3 36.13/137.6 35.83/124.1 36.65/206.7 37.00/146.2 36.75/137.1
BJRI 66.80/379.0 65.34/672.5 67.28/606.4 66.76/411.4 64.23/324.8 64.74/388.3 65.31/330.5 66.27/337.9 67.95/469.9 66.67/540.5 69.70/452.0 67.53/440.6 68.65/512.9
RSI 26.38/1134.0 26.05/1332.6 26.42/1357.6 25.80/2511.9 25.61/1631.5 25.72/2351.7 24.55/2203.4 25.45/1493.6 25.58/1567.2 24.61/1910.0 24.28/1389.5 25.15/1266.1 24.72/1721.7
RERE 4.00/1607.9 3.94/1438.3 4.09/1871.2 4.16/1326.5 4.08/5588.7 4.59/1388.7 4.45/630.6 4.56/1289.9 4.55/398.8 4.60/1130.8 4.46/513.4 4.46/829.9 4.55/793.7
BLBD 60.50/582.2 58.65/396.6 58.95/393.1 61.89/400.2 61.33/634.5 62.52/570.5 61.46/788.3 63.88/732.4 64.81/579.3 64.67/810.4 64.33/521.3 66.18/609.7 65.33/1153.7
VCYT 44.29/2181.5 44.04/1155.3 41.47/1165.4 42.31/1005.5 41.79/980.4 42.19/1761.8 40.68/1143.5 42.08/1574.4 41.25/1669.4 42.60/1455.1 44.68/874.1 46.41/551.0 46.27/761.9
CERS 2.74/1103.0 2.72/831.2 2.69/1623.6 2.81/2489.8 2.79/2614.2 2.85/1604.1 2.76/2546.4 2.97/2967.5 2.98/2489.0 2.84/2811.0 2.71/2719.9 2.57/3526.7 2.52/2726.4
BVS 13.97/488.9 14.08/584.5 14.02/669.5 14.38/748.4 14.33/616.4 14.68/487.0 14.30/601.0 13.88/716.2 14.26/506.0 13.89/632.6 13.92/536.6 13.85/538.1 13.96/917.0
BKD 12.20/2901.8 12.20/5183.3 12.12/4573.2 11.80/5864.0 11.81/3892.1 12.12/3456.9 12.22/3612.5 12.23/3916.8 12.64/3583.5 12.55/5470.9 12.98/7587.6 12.55/16710.6 13.69/8430.3
AUPH 16.54/778.0 16.75/780.6 16.57/686.3 16.65/1248.8 17.27/2637.1 16.17/1646.5 15.30/718.4 15.29/1001.7 15.47/827.3 15.18/1594.2 15.45/854.4 15.37/730.7 15.45/1050.2
LIVN 79.97/733.4 79.41/562.9 78.26/823.2 78.74/440.2 78.21/418.8 80.84/496.6 79.86/619.1 81.48/445.1 82.22/559.4 82.20/677.6 80.78/979.1 78.58/673.3 76.48/473.2
TTI 6.83/1922.2 6.77/1565.0 6.77/1649.0 7.19/1879.1 7.23/2329.5 7.48/2797.4 7.98/1862.6 8.42/1935.8 8.55/883.7 8.45/1128.0 8.74/1605.1 8.82/1534.7 8.65/1378.3
OII 49.62/912.3 49.91/1084.9 50.46/825.5 53.00/964.4 52.49/715.1 52.69/1032.7 53.10/1056.1 54.11/2032.6 52.20/447.8 51.35/519.9 51.02/708.3 50.76/463.3 51.12/753.3
PUMP 10.63/3552.8 10.60/3048.8 10.82/2232.1 11.33/1672.7 11.33/3310.4 11.90/3482.3 12.38/1785.0 12.79/2958.4 12.10/2016.7 11.54/1743.7 11.59/1603.1 11.65/2589.9 11.61/2542.1
UNFI 47.98/330.7 47.60/419.7 48.54/404.8 48.04/343.6 46.76/599.8 46.79/485.3 46.86/501.5 48.11/366.7 48.42/319.1 48.58/549.5 47.90/700.3 47.27/398.5 46.30/349.1
SENEA 191.79/75.6 190.63/55.0 189.66/58.6 194.07/75.3 192.62/64.3 192.22/74.4 192.27/79.4 189.50/95.1 191.70/81.9 193.90/105.8 188.37/145.0 184.42/113.6 179.71/143.1
CHEF 112.01/643.1 111.78/513.6 113.45/722.7 110.61/455.6 108.84/386.9 107.36/479.8 108.30/349.3 110.57/590.7 109.08/2760.5 112.05/1160.8 111.07/290.2 109.31/287.1 108.83/320.4
RYAM 8.41/667.5 8.61/829.2 8.33/1084.6 8.66/569.7 8.58/860.7 8.73/1137.1 8.39/1073.4 8.32/758.1 8.42/615.3 8.43/1046.2 8.30/993.7 8.72/718.4 8.77/1049.9
CPAC 12.47/42.4 12.15/68.0 11.85/52.5 11.71/8.8 11.78/40.0 11.70/17.7 11.75/20.0 11.80/54.0 11.86/40.2 12.05/120.7 11.96/88.3 11.81/11.2 11.88/65.7
DLX 23.62/291.6 23.93/332.4 24.08/359.3 23.61/928.0 23.90/437.7 23.60/538.9 23.32/509.4 24.27/544.8 24.05/308.1 24.24/429.8 23.75/381.4 23.84/419.9 24.48/438.9
