yr,ixic
1971,102.05
1972,122.61
1973,124.43
1974,90.98
1975,73.26
1976,88.96
1977,96.41
1978,102.56
1979,124.93
1980,162.56
1981,193.89
1982,182.52
1983,259.06
1984,252.73
1985,287.70
1986,350.20
1987,412.50
1988,353.30
1989,404.20
1990,429.60
1991,448.70
1992,636.40
1993,690.50
1994,790.10
1995,795.60
1996,1090.50
1997,1367.19
1998,1710.42
1999,2321.89
2000,4420.77
2001,2552.91
2002,1805.20
2003,1310.17
2004,2053.56
2005,2089.21
2006,2276.43
2007,2497.10
2008,2321.80
2009,1534.36
2010,2183.53
2011,2804.35
2012,2915.83
2013,3192.03
2014,4244.03
2015,4893.84
2016,4337.51
2017,5819.44
2018,7256.43
2019,7472.41
2020,9731.18
2021,14095.47
2022,14139.76
2023,12070.59
2024,15906.17
2025,20026.77
2026,22546.67
