ticker,yr,ventas_M,mcap_M,ret,qqq,mop
AAT,2019,331,2796,5.7,27.9,26.7
AIMC,2023,1946,4027,0.0,0.0,10.8
ALKS,2022,1174,4331,5.2,-15.3,0.7
ATGE,2007,895,2049,100.8,1.2,10.0
ATGE,2023,1445,1777,23.4,41.3,12.6
AXL,2014,3207,1475,30.5,26.0,8.0
AXL,2015,3696,1959,-42.5,-5.8,4.1
BALL,2009,7562,3781,25.8,42.5,6.7
BCC,2017,3911,1017,62.2,38.2,-0.3
BCC,2018,4432,1640,-33.1,1.2,2.0
BDC,2017,2357,3276,-1.6,28.8,9.6
BDC,2023,2606,3884,-5.5,24.7,11.9
BWA,2007,4585,3852,23.1,-4.7,1.0
BWA,2008,5329,4796,-52.0,-17.6,9.0
CATM,2011,532,718,43.9,7.2,13.8
CATM,2012,625,1087,-0.3,9.1,12.2
CATM,2017,1265,2341,-51.5,11.5,13.3
CATM,2020,1349,1903,-7.9,25.1,8.7
CBRE,2010,4166,4291,73.7,40.3,10.8
CCOI,2013,317,1154,58.9,43.5,11.1
CCOI,2014,348,1966,-9.2,16.4,13.4
CCOI,2020,546,3506,-21.8,29.9,20.0
CCS,2022,4216,2319,-5.6,-22.9,17.6
CIR,2008,666,746,-52.8,-24.8,9.3
CIR,2014,858,1261,-27.7,11.6,5.6
CNK,2015,2627,4729,-23.4,-4.1,14.6
CTRE,2019,155,1852,5.2,28.8,54.7
CVLT,2012,382,2385,50.8,12.6,11.9
CVLT,2013,472,3735,-9.7,21.7,15.8
DCOM,2016,137,1069,25.9,21.5,42.1
DIOD,2019,1214,1906,34.0,34.3,14.0
DLX,2013,1515,1833,46.6,35.6,20.1
DRQ,2010,540,2172,40.2,32.3,25.9
EPAC,2010,1160,1519,27.5,16.0,6.0
EPAC,2023,585,1591,26.8,36.6,9.8
EVBG,2018,104,938,93.7,8.1,-17.8
EVBG,2019,147,1906,42.9,38.0,-20.1
EVBG,2020,201,3106,53.0,44.2,-17.9
EXLS,2022,1122,4007,46.5,-22.8,12.2
FMC,2008,2633,3344,-14.4,-37.4,6.4
FORM,2020,589,2057,61.4,51.2,13.3
FWRD,2022,1662,2992,3.4,-19.2,11.3
GLOB,2016,254,904,40.1,28.7,10.2
GLOB,2019,522,2518,84.6,52.5,12.8
GLOB,2020,659,4787,74.2,51.6,10.9
GMS,2022,4278,2225,17.4,-21.7,8.4
GNTX,2014,1172,4781,0.5,17.4,29.3
GOLF,2021,1612,3289,-0.4,9.8,6.4
GRBK,2021,976,1025,15.3,15.5,13.2
HEI,2008,529,1247,-27.5,-41.3,17.3
HEI,2012,803,2482,-1.2,7.3,17.7
HEI,2014,1059,3929,6.1,18.0,18.9
HIMX,2014,771,2436,-45.1,7.8,9.9
HUBG,2022,4232,2582,21.4,-22.6,9.4
HURN,2007,322,1011,-9.3,-3.6,14.9
HURN,2012,658,822,-5.9,7.0,12.1
HURN,2019,878,1177,17.8,26.5,8.3
HURN,2023,1159,1414,53.0,49.9,8.1
INSP,2019,51,1228,39.5,30.5,-29.6
INSP,2020,82,1890,180.8,94.6,-34.5
IRBT,2017,661,1704,43.8,31.4,8.8
KFRC,2015,1265,721,-21.3,-6.5,4.6
KFRC,2019,1418,922,-0.6,26.4,6.2
KFRC,2022,1580,1469,-15.6,-13.7,6.0
KNX,2015,1102,1852,-26.5,2.1,16.6
LDL,2017,567,1032,-26.8,15.7,5.1
LNW,2012,879,1160,-27.7,4.3,8.9
LNW,2018,3084,3978,-35.3,1.7,11.8
LSI,2016,344,3801,-22.1,15.9,43.6
LSI,2019,505,4569,17.1,31.7,85.0
MAX,2021,585,2041,-81.3,0.6,-5.9
MED,2018,302,820,95.1,5.4,12.2
MELI,2011,217,2965,44.7,15.6,33.7
MELI,2012,299,4287,-12.8,4.4,33.5
