ticker,sector,industria,ipo,activo,nombre
ABCM,Healthcare,Biotechnology,2020-10-22,false,Abcam plc
ABCO,Healthcare,Medical - Equipment & Services,2000-03-27,false,Advisory Board Co
ABMD,Healthcare,Medical - Devices,1987-07-29,false,Abiomed
ABST,Technology,Software - Application,2009-09-08,false,Absolute Software
AMED,Healthcare,Medical - Care Facilities,1994-08-17,false,Amedisys
AMWD,Consumer Cyclical,Furnishings Fixtures & Appliances,1986-07-18,false,American Woodmark
ANSS,Technology,Software - Application,1996-06-20,false,ANSYS
ASGN,Technology,Information Technology Services,1992-09-22,false,ASGN Inc
ATCO,Financial Services,Asset Management,2005-08-09,false,Atlas Corp
ATGE,Consumer Defensive,Education & Training Services,1991-06-21,false,Adtalem Global Education
ATNI,Communication Services,Telecommunications Services,1991-11-14,true,ATN International
ATSG,Industrials,Airlines Airports & Air Services,2003-07-23,false,Air Transport Services Group
LNCE,Consumer Defensive,Packaged Foods,1972-06-01,false,Snyder's-Lance
AXL,Consumer Cyclical,Auto - Parts,1999-01-29,false,American Axle
AYX,Technology,Software - Application,2017-03-24,false,Alteryx
BBBY,Consumer Cyclical,Specialty Retail,1992-06-01,false,Bed Bath & Beyond
BECN,Industrials,Construction,2004-09-23,false,Beacon Roofing Supply
BERY,Consumer Cyclical,Packaging & Containers,2012-10-04,false,Berry Global
BGS,Consumer Defensive,Packaged Foods,2007-05-23,true,B&G Foods
BLD,Industrials,Engineering & Construction,2015-06-17,false,TopBuild
BRCC,Consumer Defensive,Packaged Foods,2022-02-10,true,BRC Inc
BRKL,Financial Services,Banks - Regional,1998-03-25,false,Brookline Bancorp
BRKS,Technology,Semiconductors,1995-02-02,false,Brooks Automation
BZUN,Consumer Cyclical,Specialty Retail,2015-05-20,true,Baozun
CATM,Industrials,Business Equipment & Supplies,2007-12-11,false,Cardtronics
CCMP,Technology,Semiconductors,2000-04-04,false,CMC Materials
CCRN,Industrials,Staffing & Employment Services,2001-10-25,false,Cross Country Healthcare
CFXA,Industrials,Industrial - Machinery,2019-01-09,false,Colfax
CIR,Industrials,Industrial - Machinery,1999-10-18,false,CIRCOR International
CLFD,Technology,Communication Equipment,1986-08-06,true,Clearfield
CMBM,Technology,Communication Equipment,2019-06-26,false,Cambium Networks
CPRX,Healthcare,Biotechnology,2006-11-08,false,Catalyst Pharmaceuticals
CRMT,Consumer Cyclical,Auto - Dealerships,1987-03-13,true,America's Car-Mart
CSOD,Technology,Software - Application,2011-03-17,false,Cornerstone OnDemand
CSU,Healthcare,Medical - Care Facilities,1997-10-31,false,Capital Senior Living
CSWI,Industrials,Industrial - Machinery,2015-09-30,false,CSW Industrials
CYH,Healthcare,Medical - Care Facilities,2000-06-09,true,Community Health Systems
DBI,Consumer Cyclical,Apparel - Footwear & Accessories,2005-06-29,true,Designer Brands
DENN,Consumer Cyclical,Restaurants,1998-01-08,false,Denny's
DRQ,Energy,Oil & Gas Equipment & Services,1997-10-23,false,Dril-Quip
EBIX,Technology,Software - Application,1987-07-01,false,Ebix
ECOL,Industrials,Waste Management,2011-04-19,false,US Ecology
EDMCQ,Consumer Defensive,Education & Training Services,2009-10-05,true,Education Management
ENDPQ,Healthcare,Drug Manufacturers - Specialty & Generic,2000-07-18,false,Endo International
ENV,Technology,Software - Application,2010-07-29,false,Envestnet
EVBG,Technology,Software - Application,2016-09-16,false,Everbridge
