yr,sleeve_w,qqq,qqq_prev,med_mom_univ,pct_pos_univ,pct_cero_univ
2007,-2.27,-0.81,8.16,7.18,64.6,9.4
2008,-42.47,-28.79,-0.81,-8.11,32.6,9.6
2009,27.18,42.91,-28.79,-30.85,8.9,11.9
2010,30.65,26.94,42.91,46.07,80.4,8.9
2011,13.55,9.78,26.94,21.39,73.3,8.8
2012,11.52,8.05,9.78,0.00,45.8,8.3
2013,39.03,32.87,8.05,7.12,60.3,7.8
2014,8.98,17.32,32.87,19.85,73.9,8.5
2015,-7.29,-4.48,17.32,0.23,50.1,9.5
2016,34.39,25.84,-4.48,-12.82,26.0,8.9
2017,22.79,27.11,25.84,31.77,76.7,8.4
2018,14.76,4.01,27.11,2.72,54.0,8.5
2019,29.30,30.55,4.01,0.00,42.0,8.0
2020,56.52,48.42,30.55,0.00,43.0,7.3
2021,-3.40,6.87,48.42,20.01,67.4,4.6
2022,1.59,-19.85,6.87,-2.01,45.2,2.6
2023,51.93,45.94,-19.85,-10.46,35.5,2.2
