yr,n,n_univ,sleeve_w,sleeve_ew,qqq,med_mom_univ
2007,27,683,-2.27,-1.69,-0.81,7.18
2008,27,668,-42.47,-39.17,-28.79,-8.11
2009,18,616,27.18,27.30,42.91,-30.85
2010,31,688,30.65,37.33,26.94,46.07
2011,28,741,13.55,15.75,9.78,21.39
2012,30,781,11.52,6.73,8.05,0.00
2013,33,786,39.03,41.10,32.87,7.12
2014,40,907,8.98,11.37,17.32,19.85
2015,43,969,-7.29,-6.30,-4.48,0.23
2016,46,1000,34.39,31.17,25.84,-12.82
2017,47,1005,22.79,19.52,27.11,31.77
2018,47,1066,14.76,12.94,4.01,2.72
2019,53,1145,29.30,15.58,30.55,0.00
2020,53,1090,56.52,43.20,48.42,0.00
2021,51,1088,-3.40,-4.99,6.87,20.01
2022,42,1114,1.59,7.21,-19.85,-2.01
2023,48,1120,51.93,32.33,45.94,-10.46
