yr,ticker,g,sec,mb,cr,r40,mc,mom,ret,qqq
2007,AAP,CIC,Cons,0.023,0.032,0.273,0.920,15.2,-9.5,-2.2
2007,ABCB,NOC,Fina,0.797,0.465,0.346,0.034,-7.4,-45.3,-1.6
2007,ABG,CIC,Cons,0.007,0.096,0.155,0.294,27.2,-43.1,-1.2
2007,ADEA,NOC,Tech,0.633,0.923,0.970,0.128,9.1,0.8,0.7
2007,ADTN,NOC,Tech,0.075,0.654,0.144,0.538,-6.9,-12.9,3.2
2007,AEIS,NOC,Tech,0.640,0.763,0.854,0.319,20.1,-45.8,-2.1
2007,AEM,CIC,Basi,0.959,0.916,0.982,0.998,28.9,60.6,-5.3
2007,AGCO,CIC,Indu,0.032,0.378,0.285,0.843,37.4,65.7,-4.0
2007,AGO,NOC,Fina,0.738,0.806,0.879,0.606,2.7,-19.2,-1.6
2007,AJG,NOC,Fina,0.533,0.150,0.483,0.790,8.1,-12.6,1.4
2007,ALB,CIC,Basi,0.444,0.661,0.287,0.872,32.1,3.3,1.0
2007,ALGN,NOC,Heal,0.294,0.435,0.055,0.419,44.4,-22.2,1.2
2007,ALKS,NOC,Heal,0.613,0.891,0.806,0.533,-0.5,-11.1,-3.4
2007,ALV,CIC,Cons,0.041,0.305,0.369,0.861,7.2,-19.2,-0.1
2007,AMN,NOC,Heal,0.333,0.786,0.638,0.339,15.9,-45.4,1.0
2007,ANDE,NOC,Cons,0.317,0.326,0.467,0.253,35.3,2.9,-1.8
2007,ANGO,NOC,Heal,0.180,0.103,0.715,0.041,4.9,-12.3,12.5
2007,ARLP,CIC,Ener,0.360,0.287,0.624,0.449,-3.7,4.8,1.8
2007,AROC,CIC,Ener,0.724,0.462,0.809,0.472,25.6,-0.3,-1.3
2007,ASR,CIC,Indu,0.729,0.779,0.945,0.433,25.6,17.5,-3.9
2007,ATLC,NOC,Fina,0.977,0.895,0.934,0.597,15.2,-69.7,0.0
2007,ATO,NOC,Util,0.615,0.886,0.066,0.745,10.2,-8.7,1.8
2007,AVNT,CIC,Basi,0.059,0.535,0.103,0.223,-13.8,-13.4,0.1
2007,AXON,CIC,Indu,0.781,0.866,0.882,0.146,18.0,49.4,-1.4
2007,AZTA,NOC,Heal,0.563,0.900,0.820,0.385,6.6,-20.8,-0.8
2007,AZZ,CIC,Indu,0.617,0.412,0.831,0.002,59.6,13.2,15.1
2007,BAK,CIC,Basi,0.845,0.729,0.622,0.733,18.0,0.5,-1.6
2007,BALL,CIC,Cons,0.107,0.248,0.590,0.989,12.6,-6.3,0.6
2007,BANC,NOC,Fina,0.882,0.257,0.661,0.032,-3.7,-39.3,-1.8
2007,BAP,NOC,Fina,0.576,0.645,0.633,0.893,11.1,53.8,-2.8
2007,BC,CIC,Cons,0.308,0.346,0.128,0.813,5.6,-46.3,0.8
2007,BDC,NOC,Tech,0.280,0.911,0.237,0.683,18.8,-11.2,-3.4
2007,BELFB,NOC,Tech,0.462,0.239,0.310,0.064,-0.8,-17.9,-0.1
2007,BEP,NOC,Util,0.754,0.494,0.913,0.196,-5.1,11.0,0.1
2007,BFH,NOC,Fina,0.706,0.087,0.692,0.938,23.6,-36.7,0.5
2007,BGC,NOC,Fina,0.000,0.321,0.173,0.005,10.1,1.0,4.3
2007,BHC,NOC,Heal,0.629,0.358,0.733,0.845,31.3,-36.1,-0.3
2007,BJRI,CIC,Cons,0.891,0.271,0.674,0.150,-9.1,-20.0,-0.1
2007,BKD,NOC,Heal,0.485,0.934,0.966,0.957,-1.7,-47.9,2.0
2007,BKH,NOC,Util,0.966,0.875,0.027,0.481,10.5,4.3,-5.0
2007,BKNG,CIC,Cons,0.809,0.317,0.597,0.647,26.0,128.3,5.5
2007,BLX,NOC,Fina,0.993,0.989,0.021,0.237,24.3,-15.3,0.2
2007,BMRN,NOC,Heal,0.362,0.995,0.909,0.585,19.0,111.7,-5.5
2007,BTE,CIC,Ener,0.998,0.936,0.011,0.497,-13.4,54.0,17.6
2007,BUSE,NOC,Fina,0.622,0.178,0.747,0.107,-6.2,-9.3,0.5
2007,BVN,CIC,Basi,0.779,0.868,0.968,0.870,0.7,168.9,5.8
2007,BWA,CIC,Cons,0.187,0.314,0.335,0.902,29.4,21.9,-4.7
2007,BXC,CIC,Indu,0.082,0.850,0.041,0.066,12.3,-61.3,0.2
2007,BYD,CIC,Cons,0.952,0.831,0.141,0.932,30.0,-50.1,-1.1
2007,CACI,NOC,Tech,0.118,0.426,0.408,0.513,-15.1,-8.6,0.7
2007,CAKE,CIC,Cons,0.073,0.148,0.339,0.663,1.1,-23.0,1.5
2007,CASY,CIC,Cons,0.100,0.342,0.360,0.451,7.9,6.2,1.1
2007,CATY,NOC,Fina,0.888,0.565,0.253,0.592,-9.8,-31.4,0.6
2007,CBRL,CIC,Cons,0.251,0.262,0.132,0.581,15.4,-26.7,-1.9
2007,CBT,CIC,Basi,0.711,0.155,0.456,0.825,23.4,-38.4,-0.2
2007,CBZ,CIC,Indu,0.636,0.036,0.216,0.112,-6.9,24.2,0.6
2007,CCBG,NOC,Fina,0.592,0.323,0.620,0.171,-4.3,-14.9,-1.3
2007,CCOI,NOC,Comm,0.802,0.768,0.178,0.417,109.8,-16.8,1.6
2007,CDE,CIC,Basi,0.964,0.531,0.838,0.467,-0.8,3.0,-3.0
2007,CE,CIC,Basi,0.405,0.187,0.399,0.952,54.6,38.4,2.8
2007,CECO,CIC,Indu,0.620,0.727,0.893,0.087,43.7,-56.4,-2.3
2007,CENX,CIC,Basi,0.784,0.633,0.852,0.535,50.1,24.8,-0.8
2007,CFFN,NOC,Fina,0.745,0.592,0.226,0.784,11.8,-16.8,2.7
2007,CFR,NOC,Fina,0.722,0.021,0.681,0.829,-7.7,-12.5,-0.2
2007,CGNX,NOC,Tech,0.326,0.540,0.289,0.390,-7.2,-32.3,1.8
2007,CHD,NOC,Cons,0.437,0.490,0.569,0.831,17.3,14.6,2.3
2007,CHE,NOC,Heal,0.273,0.677,0.435,0.367,2.3,26.6,-3.2
2007,CHH,CIC,Cons,0.383,0.132,0.747,0.754,-1.2,-18.2,0.4
2007,CIB,NOC,Fina,0.642,0.938,0.834,0.469,-8.0,52.6,7.2
2007,CIEN,NOC,Tech,0.900,0.219,0.670,0.749,6.8,-11.8,-2.0
2007,CIGI,NOC,Real,0.353,0.877,0.308,0.103,3.2,-7.3,1.5
2007,CLF,CIC,Basi,0.749,0.793,0.599,0.686,48.9,114.3,-6.1
2007,CLH,CIC,Indu,0.253,0.062,0.499,0.333,8.5,21.1,3.0
2007,CMC,CIC,Basi,0.144,0.278,0.431,0.868,41.7,9.4,2.5
2007,CMCO,CIC,Indu,0.264,0.392,0.351,0.121,36.3,-1.0,1.0
2007,CMG,CIC,Cons,0.228,0.308,0.617,0.633,24.0,78.1,-0.3
2007,CMP,CIC,Basi,0.731,0.405,0.221,0.376,12.4,33.2,-0.3
2007,COLB,NOC,Fina,0.772,0.663,0.897,0.622,2.7,-33.1,1.0
2007,COO,NOC,Heal,0.255,0.836,0.303,0.656,-15.6,-26.3,0.3
2007,CPA,CIC,Indu,0.936,0.528,0.000,0.670,52.8,-26.5,2.1
2007,CPF,NOC,Fina,0.736,0.893,0.699,0.528,-0.9,-50.0,1.4
2007,CRAI,CIC,Indu,0.478,0.563,0.588,0.216,10.9,-48.9,-3.4
2007,CRI,CIC,Cons,0.159,0.642,0.396,0.524,-5.9,-14.6,0.1
2007,CRK,CIC,Ener,0.909,0.820,0.843,0.458,8.6,10.7,-0.3
2007,CRL,NOC,Heal,0.376,0.795,0.251,0.815,6.2,37.7,-0.3
2007,CRS,CIC,Basi,0.428,0.141,0.706,0.797,4.7,6.7,1.8
2007,CRUS,NOC,Tech,0.875,0.319,0.091,0.235,11.2,-41.8,-0.8
2007,CSGP,NOC,Real,0.442,0.000,0.513,0.301,15.9,-15.7,-2.8
2007,CSL,CIC,Basi,0.050,0.706,0.891,0.786,9.9,-29.2,-1.4
2007,CTRN,CIC,Cons,0.146,0.328,0.718,0.200,24.6,-63.8,0.3
2007,CUZ,NOC,Real,0.995,0.863,0.002,0.462,-0.6,-29.4,0.4
2007,CVBF,NOC,Fina,0.932,0.572,0.114,0.371,-10.2,-26.2,3.0
2007,CW,CIC,Indu,0.098,0.171,0.579,0.599,26.8,3.0,-2.0
2007,DAKT,NOC,Tech,0.121,0.606,0.827,0.453,39.8,-35.3,-1.2
2007,DAR,NOC,Cons,0.185,0.774,0.888,0.114,37.6,137.6,6.4
2007,DCOM,NOC,Fina,0.761,0.497,0.440,0.287,-4.4,-14.9,0.3
2007,DDD,NOC,Tech,0.834,0.449,0.385,0.048,2.3,-31.5,-3.1
2007,DDS,CIC,Cons,0.214,0.089,0.228,0.765,-1.3,-49.7,-1.2
2007,DECK,CIC,Cons,0.558,0.649,0.800,0.264,29.7,107.3,5.2
2007,DHT,CIC,Indu,0.440,0.583,0.736,0.093,7.3,-20.6,-1.9
2007,DINO,CIC,Ener,0.667,0.526,0.353,0.802,23.8,-10.7,0.3
2007,DIOD,NOC,Tech,0.071,0.743,0.872,0.526,-14.7,-7.1,-0.5
2007,DKS,CIC,Cons,0.314,0.620,0.592,0.804,19.5,-5.6,-2.5
2007,DLB,NOC,Tech,0.674,0.280,0.790,0.900,67.8,24.2,1.0
2007,DLX,NOC,Comm,0.198,0.695,0.358,0.510,64.3,-8.9,0.6
2007,DMC,NOC,Cons,0.579,0.777,0.075,0.401,8.0,81.6,4.9
2007,DRH,NOC,Real,0.973,0.984,0.884,0.583,10.4,-29.3,-3.2
2007,DXC,NOC,Tech,0.080,0.073,0.232,0.968,8.4,-20.9,2.7
2007,DY,CIC,Indu,0.269,0.123,0.257,0.305,-1.3,-34.8,1.1
2007,EEFT,NOC,Tech,0.018,0.481,0.462,0.392,12.5,-12.9,-2.6
2007,EGY,CIC,Ener,0.743,0.948,0.702,0.025,-24.4,-9.3,1.2
2007,ENS,CIC,Indu,0.093,0.153,0.442,0.260,-2.5,50.3,-2.7
2007,ENTG,NOC,Tech,0.872,0.932,0.130,0.506,-1.5,-29.8,0.3
2007,EPAC,CIC,Indu,0.123,0.396,0.629,0.572,4.0,13.5,-2.4
2007,EPC,NOC,Cons,0.237,0.016,0.547,0.888,16.6,15.4,2.0
2007,EQIX,NOC,Real,0.697,0.043,0.720,0.711,41.0,-14.1,-1.3
2007,EQT,CIC,Ener,0.713,0.599,0.813,0.779,23.7,23.4,1.8
2007,ERIE,NOC,Fina,0.645,0.146,0.431,0.834,7.5,-8.8,-2.0
2007,ES,NOC,Util,0.658,0.483,0.082,0.954,24.4,-6.1,-2.8
2007,ESLT,CIC,Indu,0.328,0.581,0.774,0.492,11.4,56.8,-6.6
2007,ET,CIC,Ener,0.679,0.907,0.025,0.984,4.4,11.5,3.9
2007,EVC,NOC,Comm,0.583,0.014,0.551,0.323,17.7,-30.2,-1.8
2007,EVRG,NOC,Util,0.487,0.175,0.314,0.697,12.3,-13.4,1.9
2007,EWBC,NOC,Fina,0.822,0.294,0.904,0.674,-7.4,-36.4,1.3
2007,EXP,CIC,Basi,0.727,0.508,0.508,0.708,45.9,-29.1,0.5
2007,EXPE,CIC,Cons,0.112,0.121,0.494,0.895,40.1,2.1,-4.9
2007,FBNC,NOC,Fina,0.841,0.697,0.777,0.000,1.2,-9.2,3.1
2007,FCF,NOC,Fina,0.699,0.626,0.323,0.344,2.4,-26.2,-0.2
2007,FCFS,NOC,Fina,0.606,0.387,0.850,0.257,13.4,-42.2,1.3
2007,FCN,CIC,Indu,0.344,0.579,0.784,0.476,30.5,66.2,-2.1
2007,FCNCA,NOC,Fina,0.763,0.046,0.608,0.658,8.3,-29.7,1.5
2007,FFBC,NOC,Fina,0.804,0.601,0.244,0.205,0.2,-31.9,1.2
2007,FFIV,NOC,Tech,0.021,0.456,0.822,0.820,36.2,-45.2,-0.2
2007,FICO,NOC,Tech,0.096,0.159,0.460,0.718,11.1,-44.9,1.3
2007,FIS,NOC,Tech,0.241,1.000,1.000,0.950,15.6,-1.2,1.6
2007,FIX,CIC,Indu,0.128,0.210,0.526,0.159,14.4,-12.3,1.5
2007,FMC,CIC,Basi,0.310,0.075,0.538,0.722,17.3,36.8,0.5
2007,FNB,NOC,Fina,0.752,0.333,0.203,0.374,2.7,-20.3,3.4
2007,FNF,NOC,Fina,0.968,0.968,0.986,0.841,14.4,-23.0,0.5
2007,FORM,NOC,Tech,0.688,0.651,0.811,0.626,-6.0,-35.5,1.3
2007,FRO,CIC,Indu,0.895,0.759,0.738,0.738,-8.5,31.1,-0.8
2007,FSS,CIC,Indu,0.770,0.235,0.476,0.269,6.5,-34.5,-2.0
2007,FTK,CIC,Ener,0.419,0.843,0.954,0.727,192.0,-3.0,-10.5
2007,FUL,CIC,Basi,0.205,0.303,0.116,0.595,21.5,-19.6,4.4
2007,FULT,NOC,Fina,0.820,0.221,0.804,0.752,-6.3,-20.3,1.8
2007,FUN,CIC,Cons,0.975,0.781,0.786,0.531,9.2,-23.7,-2.9
2007,FWRD,CIC,Indu,0.164,0.118,0.472,0.326,-8.1,-5.5,-0.2
2007,GBCI,NOC,Fina,0.535,0.198,0.802,0.421,2.1,-22.7,0.6
2007,GBX,CIC,Indu,0.526,0.736,0.656,0.098,-3.2,-26.3,6.2
2007,GEO,CIC,Indu,0.246,0.708,0.845,0.321,67.5,2.4,1.5
2007,GGAL,NOC,Fina,0.690,0.950,0.105,0.446,48.0,-46.4,4.1
2007,GIB,NOC,Tech,0.064,0.513,0.278,0.731,14.0,36.6,4.0
2007,GIL,CIC,Cons,0.387,0.501,0.863,0.806,0.6,45.6,1.1
2007,GLNG,CIC,Ener,0.542,0.699,0.952,0.353,0.5,65.2,2.9
2007,GME,CIC,Cons,0.574,0.909,0.761,1.000,33.6,50.8,-9.1
2007,GNTX,CIC,Cons,0.232,0.116,0.565,0.720,20.7,-5.4,1.5
2007,GPK,CIC,Cons,0.410,0.039,0.189,0.403,48.5,-41.4,-1.4
2007,GPN,NOC,Fina,0.499,0.009,0.665,0.847,5.5,10.2,14.4
2007,GRC,CIC,Indu,0.392,0.344,0.207,0.118,34.6,-3.3,-2.0
2007,GT,CIC,Cons,0.651,0.059,0.148,0.945,71.6,0.6,0.2
2007,GTN,NOC,Comm,0.925,0.961,0.993,0.073,28.6,-41.2,-0.3
2007,HAFC,NOC,Fina,0.861,0.788,0.280,0.396,10.9,-60.5,0.4
2007,HBM,CIC,Basi,0.950,0.800,0.948,0.702,47.2,-4.1,-1.6
2007,HEI,CIC,Indu,0.301,0.403,0.729,0.342,4.9,25.9,2.7
2007,HELE,NOC,Cons,0.200,0.747,0.415,0.232,26.9,-22.9,4.6
2007,HL,CIC,Basi,0.918,0.952,0.973,0.335,45.1,28.5,-3.7
2007,HLIT,NOC,Tech,0.692,0.679,0.437,0.239,22.3,6.1,0.6
2007,HLX,CIC,Ener,0.649,0.681,0.900,0.811,2.5,-3.0,-1.7
2007,HNI,CIC,Cons,0.191,0.194,0.223,0.699,13.9,-33.2,-1.2
2007,HOPE,NOC,Fina,0.608,0.631,0.941,0.116,-2.2,-36.8,0.2
2007,HP,CIC,Ener,0.604,0.442,0.925,0.793,22.5,34.5,1.1
2007,HTGC,NOC,Fina,0.695,0.970,0.989,0.021,15.9,-18.8,-3.1
2007,HTLD,CIC,Indu,0.765,0.071,0.046,0.542,3.4,-3.9,0.6
2007,HUBG,CIC,Indu,0.052,0.018,0.212,0.428,34.7,-7.5,-0.1
2007,HUN,CIC,Basi,0.524,0.558,0.084,0.973,13.7,9.4,-3.4
