symbol,month,txdate,entry_date,mcap,value,value_od,value_10,pct_cap,pct_cap_od,n_tx,n_insiders,n_od,stake_inc,ceo_cfo,director_only,r3m,r6m,r12m,r3m_QQQ,r6m_QQQ,r12m_QQQ,r3m_IWM,r6m_IWM,r12m_IWM,r3m_SPY,r6m_SPY,r12m_SPY
DY,2014-01,2014-01-10,2014-01-14,944365523,419850.000000,419850.000000,0,0.044458,0.044458,1,1,1,0.950450,0,1,0.134356,0.070464,0.193866,-0.023491,0.099646,0.169614,-0.033914,-0.000509,0.025766,0.007393,0.083809,0.115061
CBZ,2014-01,2014-01-15,2014-01-16,429783440,1764.610416,1764.610416,0,0.000411,0.000411,2,2,2,0.000161,1,0,0.012387,-0.036036,-0.042793,-0.018412,0.080411,0.158317,-0.026959,-0.027060,0.016054,0.015194,0.071017,0.114793
ASRV,2014-01,2014-01-15,2014-01-22,58988040,1199.983680,1199.983680,0,0.002034,0.002034,2,2,2,0.002022,1,0,0.156951,0.085202,-0.008969,-0.016459,0.105237,0.189776,-0.025757,-0.013730,0.021447,0.021566,0.087737,0.140178
AUBN,2014-01,2014-01-24,2014-01-27,92787210,5484.750000,5484.750000,0,0.005911,0.005911,7,7,7,0.028333,0,0,-0.049969,-0.001234,-0.028994,0.013144,0.136856,0.199098,-0.004834,0.017654,0.075557,0.054504,0.121420,0.161293
TRST,2014-02,2014-02-04,2014-02-06,601659240,24993.060000,24993.060000,0,0.004154,0.004154,1,1,1,0.032482,0,0,0.046632,0.065285,0.145078,0.014713,0.108673,0.220960,-0.001824,0.021884,0.108239,0.062178,0.086312,0.180901
D,2014-02,2014-02-07,2014-02-10,38926488000,238874.400000,238874.400000,0,0.000614,0.000614,1,1,1,,0,1,0.020951,0.003451,0.158245,0.011346,0.097201,0.207262,0.015974,0.027187,0.091188,0.059041,0.086539,0.171432
CBZ,2014-02,2014-02-18,2014-02-18,436047100,1764.727328,1764.727328,0,0.000405,0.000405,2,2,2,0.000160,1,0,-0.068508,-0.054144,-0.011050,-0.018643,0.103643,0.205691,-0.051269,0.008052,0.072674,0.022444,0.086761,0.162870
ASRV,2014-02,2014-02-18,2014-02-24,59927340,699.992210,699.992210,0,0.001168,0.001168,1,1,1,0.001992,0,1,0.100877,0.030702,-0.065789,0.012979,0.109587,0.219787,-0.022686,-0.000101,0.066445,0.040320,0.092724,0.167957
TRST,2014-03,2014-03-11,2014-03-13,646996200,8812.810000,8812.810000,0,0.001362,0.001362,4,1,4,0.015925,0,1,-0.045519,0.032848,0.024402,0.033465,0.125710,0.193258,-0.011642,0.002609,0.061120,0.049793,0.091654,0.133316
INFU,2014-03,2014-03-13,2014-03-14,59985577,13900.000000,13900.000000,0,0.023172,0.023172,1,1,1,,1,0,-0.063380,0.038732,-0.070423,0.043516,0.127564,0.216835,-0.014092,-0.012193,0.062862,0.055949,0.088302,0.151671
AXGN,2014-03,2014-03-13,2014-03-17,56150320,5232.840000,5232.840000,0,0.009319,0.009319,2,1,2,0.006855,1,0,-0.125392,-0.260188,0.059561,0.035371,0.106976,0.208159,-0.013632,-0.027264,0.060995,0.047367,0.077774,0.137993
CBZ,2014-03,2014-03-17,2014-03-18,425447060,1999.798480,1999.798480,0,0.000470,0.000470,3,3,3,0.000711,1,0,-0.037778,-0.053333,0.001111,0.023502,0.103264,0.205431,-0.020987,-0.038639,0.054134,0.042820,0.078142,0.143459
HASI,2014-03,2014-03-14,2014-03-18,231718875,94130.950000,94130.950000,0,0.040623,0.040623,2,2,2,0.053860,1,0,0.010417,-0.003906,0.308594,0.023502,0.103264,0.205431,-0.020987,-0.038639,0.054134,0.042820,0.078142,0.143459
ASRV,2014-03,2014-03-17,2014-03-21,72326100,699.997973,699.997973,0,0.000968,0.000968,1,1,1,0.001624,0,1,-0.083636,-0.116364,-0.214545,0.045106,0.129140,0.230722,-0.000495,-0.032980,0.075072,0.057356,0.088179,0.149957
AUBN,2014-03,2014-03-28,2014-03-28,90164250,5605.600000,5605.600000,0,0.006217,0.006217,7,7,7,0.027553,0,0,-0.029721,0.014861,0.039628,0.079985,0.140637,0.239955,0.035473,-0.021325,0.106315,0.060686,0.076984,0.144693
CBZ,2014-04,2014-04-15,2014-04-15,424802400,2000.067357,2000.067357,0,0.000471,0.000471,3,3,3,0.000769,1,0,-0.017045,-0.047727,0.071591,0.126099,0.098810,0.282333,0.034577,-0.044170,0.153806,0.075856,0.028688,0.164788
ANGO,2014-04,2014-04-14,2014-04-16,486130840,13900.000000,13900.000000,0,0.002859,0.002859,1,1,1,0.038454,0,0,0.049392,0.130279,0.206156,0.115763,0.077345,0.263689,0.020649,-0.044947,0.140786,0.068599,0.011092,0.152383
ASRV,2014-04,2014-04-15,2014-04-21,68037900,699.982157,699.982157,0,0.001029,0.001029,1,1,1,0.001746,0,1,-0.076336,-0.118321,-0.106870,0.108550,0.092590,0.258391,0.006713,-0.035117,0.121256,0.060118,0.027070,0.142576
AUBN,2014-04,2014-04-29,2014-04-29,85974800,2841.600000,2841.600000,0,0.003305,0.003305,2,1,2,0.014616,0,1,0.029870,0.022078,0.096753,0.111434,0.155351,0.268804,0.022751,0.033074,0.127765,0.053999,0.066763,0.143540
AWRE,2014-04,2014-04-30,2014-05-01,125370200,143324.976000,0,143324.976000,0.114321,0.000000,4,1,0,0.003807,0,0,0.059259,0.059259,0.022222,0.086962,0.146944,0.258125,-0.002826,0.032974,0.104260,0.030147,0.068711,0.140816
CHTR,2014-05,2014-05-07,2014-05-07,13621594986,124473867.719000,0,124473867.719000,0.913798,0.000000,6,1,0,0.008917,0,0,0.102064,0.141843,0.311353,0.094917,0.177128,0.254130,0.018298,0.060426,0.120000,0.027211,0.087193,0.133569
INFU,2014-05,2014-05-07,2014-05-08,63116402,28000.000000,28000.000000,0,0.044362,0.044362,1,1,1,0.666667,1,0,-0.021583,0.255396,0.140288,0.092597,0.182015,0.271051,0.023751,0.075873,0.139925,0.022721,0.092719,0.149686
AIG,2014-05,2014-05-08,2014-05-09,75538336703,262947.000000,262947.000000,0,0.000348,0.000348,1,1,1,0.500000,0,1,0.005331,0.038081,0.142422,0.096300,0.176508,0.261277,0.024281,0.067732,0.130245,0.032952,0.092056,0.142465
AWRE,2014-05,2014-05-08,2014-05-09,123786100,152415.775000,0,152415.775000,0.123128,0.000000,6,1,0,0.005128,0,0,0.066998,0.064516,-0.024814,0.096300,0.176508,0.261277,0.024281,0.067732,0.130245,0.032952,0.092056,0.142465
EMR,2014-05,2014-05-08,2014-05-09,47020115999,701277.909000,701277.909000,0,0.001491,0.001491,2,2,2,0.326630,0,1,-0.058349,-0.020691,-0.090834,0.096300,0.176508,0.261277,0.024281,0.067732,0.130245,0.032952,0.092056,0.142465
ATEC,2014-05,2014-05-14,2014-05-19,128344989,80500.000000,80500.000000,0,0.062722,0.062722,3,2,3,0.100000,1,0,0.195652,0.000000,-0.007246,0.114321,0.171233,0.258780,0.042742,0.051735,0.142721,0.050658,0.093111,0.150866
CBZ,2014-05,2014-05-15,2014-05-19,408872310,1999.802634,1999.802634,0,0.000489,0.000489,3,3,3,0.000493,1,0,0.001172,0.024619,0.103165,0.114321,0.171233,0.258780,0.042742,0.051735,0.142721,0.050658,0.093111,0.150866
ASRV,2014-05,2014-05-15,2014-05-20,67474050,699.995572,699.995572,0,0.001037,0.001037,1,1,1,0.001745,0,1,-0.048000,-0.104000,-0.024000,0.124609,0.184227,0.264092,0.062527,0.074237,0.162548,0.062905,0.106415,0.157329
BWA,2014-05,2014-05-20,2014-05-21,11893898720,5328.300000,5328.300000,0,0.000045,0.000045,3,1,3,,0,0,0.053575,-0.054024,0.024434,0.114027,0.167760,0.258759,0.052699,0.057402,0.155425,0.056790,0.095387,0.151007
AXGN,2014-05,2014-05-20,2014-05-22,44176330,23900.200000,23900.200000,0,0.054102,0.054102,4,3,4,0.186047,1,0,0.057915,0.046332,0.166023,0.111440,0.167899,0.252096,0.044007,0.058183,0.138475,0.057302,0.094639,0.145459
FARM,2014-05,2014-05-22,2014-05-23,319403325,40166.900000,40166.900000,0,0.012576,0.012576,3,1,3,0.224266,0,1,0.115560,0.434364,0.215408,0.104993,0.161527,0.228585,0.032859,0.048033,0.115425,0.051456,0.096133,0.128607
HGBL,2014-05,2014-05-22,2014-05-27,10421790,7175.000000,7175.000000,0,0.068846,0.068846,4,1,4,1.000000,1,0,0.000000,-0.210526,-0.157895,0.096458,0.158105,0.233168,0.032291,0.046322,0.113174,0.051014,0.091697,0.132379
TRST,2014-05,2014-05-23,2014-05-28,628817350,25002.486000,25002.486000,0,0.003976,0.003976,1,1,1,0.005307,1,0,0.083333,0.095309,0.087824,0.100024,0.169132,0.234117,0.035155,0.055273,0.117909,0.051371,0.095293,0.131895
D,2014-05,2014-05-29,2014-05-30,39871788000,707643.553764,707643.553764,0,0.001775,0.001775,5,4,5,0.221395,0,0,0.027190,0.070019,0.058710,0.095640,0.166948,0.222838,0.036752,0.040801,0.115968,0.046623,0.085528,0.119587
AXGN,2014-06,2014-06-06,2014-06-10,44176330,50625.300000,50625.300000,0,0.114598,0.114598,9,3,9,0.472727,1,0,-0.098540,0.197080,0.200730,0.071150,0.135551,0.191784,-0.008938,0.019584,0.094406,0.023938,0.065594,0.099648
HGBL,2014-06,2014-06-11,2014-06-11,8450100,11100.000000,11100.000000,0,0.131359,0.131359,4,1,4,0.500000,1,0,0.300000,-0.200000,-0.166667,0.080284,0.117940,0.193724,0.001817,0.002826,0.102543,0.031335,0.052204,0.107055
ARES,2014-06,2014-06-11,2014-06-13,2241730300,189600.000000,189600.000000,0,0.008458,0.008458,1,1,1,2.533570,0,1,-0.022873,-0.078683,0.183898,0.080543,0.117955,0.185393,0.001926,-0.001014,0.100558,0.030639,0.044629,0.098247
CBZ,2014-06,2014-06-16,2014-06-17,410320500,1999.932675,1999.932675,0,0.000487,0.000487,3,3,3,0.000499,1,0,-0.016166,-0.042725,0.080831,0.077930,0.087091,0.193456,-0.018031,-0.024241,0.093659,0.033872,0.025419,0.102056
ASRV,2014-06,2014-06-16,2014-07-01,66346350,699.999888,699.999888,0,0.001055,0.001055,1,1,1,0.001750,0,1,-0.055556,-0.115079,-0.039683,0.043096,0.105604,0.149047,-0.082886,0.013082,0.057405,0.004656,0.064498,0.073934
BRTX,2014-06,2014-06-30,2014-07-02,9226080,25000.000000,25000.000000,0,0.270971,0.270971,1,1,1,,0,1,0.206278,0.552259,0.310797,0.024683,0.092388,0.147405,-0.092415,0.010878,0.053606,-0.009984,0.052834,0.071810
MERC,2014-06,2014-06-30,2014-07-02,673630524,7320783.360000,0,7320783.360000,1.086765,0.000000,15,1,0,0.130763,0,0,-0.123656,0.120968,0.279570,0.024683,0.092388,0.147405,-0.092415,0.010878,0.053606,-0.009984,0.052834,0.071810
DY,2014-07,2014-07-08,2014-07-08,1031531749,465762.450000,465762.450000,0,0.045153,0.045153,2,1,2,0.426061,0,1,-0.047415,0.143563,1.148502,0.026999,0.068195,0.137670,-0.078459,-0.002408,0.063108,-0.010595,0.028669,0.062761
CBZ,2014-07,2014-07-15,2014-07-17,419101150,1999.806340,1999.806340,0,0.000477,0.000477,3,3,3,0.000495,1,0,0.002336,-0.011682,0.161215,-0.027591,0.059703,0.213425,-0.038917,0.027605,0.133562,-0.043747,0.027373,0.107118
ASRV,2014-07,2014-07-15,2014-07-21,63903000,689.860000,689.860000,0,0.001080,0.001080,1,1,1,0.001771,0,1,-0.045455,-0.082645,0.020661,-0.014397,0.065014,0.199383,-0.041551,0.028111,0.109367,-0.031174,0.034397,0.094143
AUBN,2014-07,2014-07-23,2014-07-23,90127820,5544.000000,5544.000000,0,0.006151,0.006151,7,7,7,0.026814,0,0,-0.009214,-0.033170,0.130835,-0.006431,0.056972,0.166403,-0.048877,0.015039,0.090641,-0.025368,0.032880,0.078936
CROX,2014-07,2014-07-29,2014-07-31,1632223249,82093.000000,82093.000000,0,0.005030,0.005030,1,1,1,0.020334,0,0,-0.280403,-0.321361,-0.008822,0.055184,0.078966,0.190949,0.035902,0.070859,0.121142,0.037436,0.056882,0.111674
